#Code;English;French;German;Spanish;Russian;x
xby_gathering_room;Gathering Room;;;;;x
xby_gathering_room_desc;A simple wooden shelter hastily constructed to serve as a meeting space for newcomers and settlers.;;;;;x
xby_reading_alcove;Reading Alcove;;;;;x
xby_reading_alcove_desc;A modest annex lined with shelves and benches, encouraging literacy and the sharing of news among the townsfolk.;;;;;x
xby_meeting_chamber;Meeting Chamber;;;;;x
xby_meeting_chamber_desc;A sturdier timber hall, fitted with benches and a hearth, where townsfolk gather to discuss affairs and mediate disputes.;;;;;x
xby_council_niche;Council Niche;;;;;x
xby_council_niche_desc;A private stone chamber reserved for the city council, featuring secure archives and a dais for presiding officials.;;;;;x
xby_elders_court;Elders' Court;;;;;x
xby_elders_court_desc;A well-built hall of stone and timber, adorned with symbols of authority, where the citys elders convene to settle important matters.;;;;;x
xby_community_archive;Community Archive;;;;;x
xby_community_archive_desc;A fortified repository of scrolls, records, and ledgers, preserving the history and agreements of the growing city.;;;;;x
xby_debate_hall;Debate Hall;;;;;x
xby_debate_hall_desc;A grand forum decorated with stone pillars and benches, designed for the assembly of citizens and spirited debate of civic issues.;;;;;x
xby_scribes_gallery;Scribes Gallery;;;;;x
xby_scribes_gallery_desc;A two-story annex filled with desks and cabinets, where scribes diligently copy, translate, and preserve the citys most vital documents.;;;;;x
xby_judgement_chamber;Judgement Chamber;;;;;x
xby_judgement_chamber_desc;An imposing council court, with high-backed seats and a stone dais, serving as the center for legal proceedings and arbitration.;;;;;x
xby_grand_community_hall;Grand Community Hall;;;;;x
xby_grand_community_hall_desc;A sprawling stone complex crowned by a great hall, bustling with civic offices, archives, and meeting spaces for the entire city.;;;;;x
