#Code;English;French;German;Spanish;Russian;x
tp_wall_q_1;Wooden Palisade;;;;;x
tp_wall_q_1_desc;A basic timber palisade, hastily erected by the faithful to mark and protect holy ground. Simple but effective against roaming bandits and wild beasts.;;;;;x
tp_wall_q_2;Stone Perimeter;;;;;x
tp_wall_q_2_desc;A low wall of shaped stones, offering greater security and a sense of permanence to the temple precincts. The faithful feel safer within its bounds.;;;;;x
tp_wall_q_3;Defended Gatehouse;;;;;x
tp_wall_q_3_desc;A sturdy gatehouse with reinforced doors and a place for guards or monks to watch over all who enter the holy grounds.;;;;;x
tp_wall_q_4;Watchtower Addition;;;;;x
tp_wall_q_4_desc;The addition of watchtowers along the walls allows for early warning against threats and a symbol of vigilant faith.;;;;;x
tp_wall_q_5;Reinforced Walls;;;;;x
tp_wall_q_5_desc;Thicker stone walls with improved foundations and defensive platforms, proof against even determined raiders.;;;;;x
tp_wall_q_6;Battlemented Parapet;;;;;x
tp_wall_q_6_desc;High stone parapets with crenellations for defending archers, turning the temple into a true bastion of faith.;;;;;x
tp_wall_q_7;Moat and Drawbridge;;;;;x
tp_wall_q_7_desc;A deep moat surrounds the temple with a sturdy drawbridge, deterring all but the most determined besiegers and elevating the sanctity within.;;;;;x
tp_wall_q_8;Multi-Layered Walls;;;;;x
tp_wall_q_8_desc;Towering double or triple curtain walls, each an obstacle to the profane, making the temple a near-impenetrable holdfast of the faith.;;;;;x
tp_wall_q_9;Fortified Tower;;;;;x
tp_wall_q_9_desc;A great central tower rises above the temple, commanding the surrounding lands and serving as a final redoubt for the defenders of the faith.;;;;;x
tp_wall_q_10;Sanctuary Citadel;;;;;x
tp_wall_q_10_desc;An awe-inspiring fortress-temple, blending spiritual sanctity with daunting military architecture. The faith is utterly secure behind these walls.;;;;;x
tp_wall_1;Wooden Palisade;;;;;x
tp_wall_1_desc;A basic timber palisade, hastily erected by the faithful to mark and protect holy ground. Simple but effective against roaming bandits and wild beasts.;;;;;x
tp_wall_2;Stone Perimeter;;;;;x
tp_wall_2_desc;A low wall of shaped stones, offering greater security and a sense of permanence to the temple precincts. The faithful feel safer within its bounds.;;;;;x
tp_wall_3;Defended Gatehouse;;;;;x
tp_wall_3_desc;A sturdy gatehouse with reinforced doors and a place for guards or monks to watch over all who enter the holy grounds.;;;;;x
tp_wall_4;Watchtower Addition;;;;;x
tp_wall_4_desc;The addition of watchtowers along the walls allows for early warning against threats and a symbol of vigilant faith.;;;;;x
tp_wall_5;Reinforced Walls;;;;;x
tp_wall_5_desc;Thicker stone walls with improved foundations and defensive platforms, proof against even determined raiders.;;;;;x
tp_wall_6;Battlemented Parapet;;;;;x
tp_wall_6_desc;High stone parapets with crenellations for defending archers, turning the temple into a true bastion of faith.;;;;;x
tp_wall_7;Moat and Drawbridge;;;;;x
tp_wall_7_desc;A deep moat surrounds the temple with a sturdy drawbridge, deterring all but the most determined besiegers and elevating the sanctity within.;;;;;x
tp_wall_8;Multi-Layered Walls;;;;;x
tp_wall_8_desc;Towering double or triple curtain walls, each an obstacle to the profane, making the temple a near-impenetrable holdfast of the faith.;;;;;x
tp_wall_9;Fortified Tower;;;;;x
tp_wall_9_desc;A great central tower rises above the temple, commanding the surrounding lands and serving as a final redoubt for the defenders of the faith.;;;;;x
tp_wall_10;Sanctuary Citadel;;;;;x
tp_wall_10_desc;An awe-inspiring fortress-temple, blending spiritual sanctity with daunting military architecture. The faith is utterly secure behind these walls.;;;;;x
