#Code;English;French;German;Spanish;Russian;x
xgd_timber_store;Timber Store;;;;;x
xgd_timber_store_desc;A rudimentary storage shelter of timber and earth, hastily constructed to protect vital supplies on the frontier.;;;;;x
xgd_stone_storehouse;Stone Storehouse;;;;;x
xgd_stone_storehouse_desc;A solid stone storehouse replaces makeshift shelters, securing provisions against fire and theft.;;;;;x
xgd_secure_storehouse;Secure Storehouse;;;;;x
xgd_secure_storehouse_desc;An improved storehouse with reinforced doors and basic watch, offering better protection for stored goods and arms.;;;;;x
xgd_expanded_store;Expanded Store;;;;;x
xgd_expanded_store_desc;Subterranean chambers and outer storage sheds dramatically increase capacity, supporting larger garrisons and longer sieges.;;;;;x
xgd_guarded_storehouse;Guarded Storehouse;;;;;x
xgd_guarded_storehouse_desc;Dedicated guards and fortified access make this storehouse a last bastion in times of siege, ensuring critical supplies remain protected.;;;;;x
xgd_large_storehouse;Large Storehouse;;;;;x
xgd_large_storehouse_desc;A complex of stone granaries and armories ensures the castle can withstand prolonged blockades while supporting ever-larger forces.;;;;;x
xgd_supplies_depot;Supplies Depot;;;;;x
xgd_supplies_depot_desc;A large and organized depot for military and civilian supplies, featuring secure vaults and administrative offices.;;;;;x
xgd_warehouse;Warehouse;;;;;x
xgd_warehouse_desc;A vast stone warehouse with guarded chambers for grain, arms, and valuables, supporting grand feudal operations.;;;;;x
xgd_reinforced_warehouse;Reinforced Warehouse;;;;;x
xgd_reinforced_warehouse_desc;With double-thick walls, iron-barred vaults, and a permanent garrison, this warehouse is prepared for any siege or disaster.;;;;;x
xgd_grand_storehouse;Grand Storehouse;;;;;x
xgd_grand_storehouse_desc;The ultimate storage complex, with massive granaries, armories, and treasury halls, guarded by elite retainers and supporting a true seat of power.;;;;;x
