#Code;English;French;German;Spanish;Russian;x
xlm_fire_altar;Fire Altar;;;;;x
xlm_fire_altar_desc;A simple stone platform for the sacred fire, offering basic spiritual focus and limited protection to the faithful.;;;;;x
xlm_mud_brick_fire_sanctuary;Mud Brick Fire Sanctuary;;;;;x
xlm_mud_brick_fire_sanctuary_desc;A rudimentary mud-brick enclosure offers modest shelter for the holy fire, drawing more worshippers and fostering devotion.;;;;;x
xlm_stone_fire_temple;Stone Fire Temple;;;;;x
xlm_stone_fire_temple_desc;A permanent stone structure housing the sacred flame, offering improved protection and a respected site for learning and ritual.;;;;;x
xlm_decorated_fire_temple;Decorated Fire Temple;;;;;x
xlm_decorated_fire_temple_desc;An enhanced temple with symbolic carvings and painted walls, attracting pilgrims and increasing the temples renown.;;;;;x
xlm_enclosed_fire_chamber;Enclosed Fire Chamber;;;;;x
xlm_enclosed_fire_chamber_desc;A secure, domed sanctuary protects the sacred fire from the elements and enhances spiritual authority, with dedicated priests overseeing rituals.;;;;;x
xlm_sanctified_fire_sanctuary;Sanctified Fire Sanctuary;;;;;x
xlm_sanctified_fire_sanctuary_desc;A hallowed sanctuary, recognized for miraculous events, attracting scholars and pilgrims from afar. Its guardians are highly trained priests.;;;;;x
xlm_ornate_fire_temple;Ornate Fire Temple;;;;;x
xlm_ornate_fire_temple_desc;An awe-inspiring, beautifully adorned temple with intricate tilework and gilded altars, serving as a center of learning and piety.;;;;;x
xlm_grand_fire_temple;Grand Fire Temple;;;;;x
xlm_grand_fire_temple_desc;A magnificent temple complex with libraries and halls for great gatherings, it stands as a beacon of Zoroastrian faith and knowledge.;;;;;x
xlm_blessed_fire_temple;Blessed Fire Temple;;;;;x
xlm_blessed_fire_temple_desc;A temple revered for its purest flame, with relics and sacred texts, its influence shapes the regions faith and scholarship.;;;;;x
xlm_atash_behram;Atash Behram;;;;;x
xlm_atash_behram_desc;The highest grade of Zoroastrian temple, home to the holiest fire, a center of pilgrimage, learning, and spiritual defense revered throughout the world.;;;;;x
