#Code;English;French;German;Spanish;Russian;x
xyx_mountain_smelter_shed;Smelter Shed;;;;;x
xyx_mountain_smelter_shed_desc;A smoky, makeshift shed housing small forges and hearths, where raw ore is roughly smelted into crude ingots. Charcoal and bellows are in constant demand.;;;;;x
xyx_mountain_ore_pit;Ore Pit;;;;;x
xyx_mountain_ore_pit_desc;A rudimentary open pit dug by pioneers, where hopeful settlers sift through scree for surface ores. Simple shelters and makeshift earthworks offer scant protection from the elements.;;;;;x
xyx_mountain_miners_bunkhouse;Miners Bunkhouse;;;;;x
xyx_mountain_miners_bunkhouse_desc;Sturdy communal bunkhouses with stone foundations and timber walls shelter miners from the harsh mountain weather. The growing settlement attracts merchants and craftsmen.;;;;;x
xyx_mountain_mining_shaft;Mining Shaft;;;;;x
xyx_mountain_mining_shaft_desc;Simple timber-framed shafts plunge into the rocky earth, allowing deeper access to ore veins. Miners use rope, wooden ladders, and hand tools to extract the mountains bounty.;;;;;x
xyx_mountain_ore_mill;Ore Mill;;;;;x
xyx_mountain_ore_mill_desc;A robust stone mill, powered by flowing mountain water, crushes ore for more efficient extraction. The hum of industry echoes through the valley, and trade caravans grow frequent.;;;;;x
xyx_mountain_mining_guild;Mining Guild;;;;;x
xyx_mountain_mining_guild_desc;A chartered guild manages mining rights, labor, and trade, establishing rules and fair wages. The guilds influence extends to city politics and commerce, attracting skilled artisans.;;;;;x
xyx_mountain_tunneling_chamber;Tunneling Chamber;;;;;x
xyx_mountain_tunneling_chamber_desc;Complex networks of reinforced tunnels, supported by quarried stone, allow extensive mining beneath the city. Safety and output both increase, and the city prospers from the wealth below.;;;;;x
xyx_mountain_blast_furnace;Blast Furnace;;;;;x
xyx_mountain_blast_furnace_desc;A large, stone-built blast furnace, using advanced bellows and water power, yields high-quality metal in quantity. The city becomes a regional center for trade in finished goods and armaments.;;;;;x
xyx_mountain_rockbreaker_hall;Rockbreaker Hall;;;;;x
xyx_mountain_rockbreaker_hall_desc;A grand stone hall where overseers and engineers coordinate vast mining operations. The Hall anchors the citys economy, offering arbitration, contracts, and trade fairs for merchants and miners alike.;;;;;x
xyx_mountain_alpine_mineworks;Alpine Mineworks;;;;;x
xyx_mountain_alpine_mineworks_desc;A sprawling complex of stone workshops, multi-tiered tunnels, and fortified storehouses carved into the mountain itself. Masters of metallurgy and commerce ensure the citys continued dominance in mining and trade.;;;;;x
