#Code;English;French;German;Spanish;Russian;x
ysp_arctic_snow_shelter_1;Snow Shelter;;;;;x
ysp_arctic_snow_shelter_1_desc;Makeshift snow-packed earthworks and windbreaks provide basic shelter for settlers braving the Arctic elements.;;;;;x
ysp_arctic_fur_storage_3;Fur Storage;;;;;x
ysp_arctic_fur_storage_3_desc;Timber-and-ice storehouses for valuable furs and pelts, securing trade goods and modestly enriching the city.;;;;;x
ysp_arctic_ice_hut_2;Ice Hut;;;;;x
ysp_arctic_ice_hut_2_desc;Small communal huts of packed snow and ice, providing marginally improved shelter and warmth for city dwellers.;;;;;x
ysp_arctic_smokehouse_5;Smokehouse;;;;;x
ysp_arctic_smokehouse_5_desc;Large communal smokehouses preserve game and fish, ensuring food stores last through the harshest winters and increasing city prosperity.;;;;;x
ysp_arctic_sled_workshop_7;Sled Workshop;;;;;x
ysp_arctic_sled_workshop_7_desc;Specialized workshops produce sturdy sleds for transport, boosting trade and movement in the frozen city.;;;;;x
ysp_arctic_reindeer_pen_4;Reindeer Pen;;;;;x
ysp_arctic_reindeer_pen_4_desc;Fenced wooden pens shelter reindeer herds, bolstering food security and local wealth. Herding skills spread among the cityfolk.;;;;;x
ysp_arctic_blubber_depot_6;Blubber Depot;;;;;x
ysp_arctic_blubber_depot_6_desc;Grand insulated depots for storing whale blubber and oil, fueling lamps, trade, and city industry with precious Arctic resources.;;;;;x
ysp_arctic_snow_wall_8;Snow Wall;;;;;x
ysp_arctic_snow_wall_8_desc;Massive frozen ramparts surround the city, offering formidable protection against attackers and the elements alike.;;;;;x
ysp_arctic_heated_hall_9;Heated Hall;;;;;x
ysp_arctic_heated_hall_9_desc;A vast, fire-warmed central hall, gathering citizens for council, trade, and governance, heart of Arctic urban life.;;;;;x
ysp_arctic_polar_compound_10;Polar Compound;;;;;x
ysp_arctic_polar_compound_10_desc;A fortified, multi-structure urban complex with heated halls, guarded stores, and bustling trade, unmatched in the high Arctic.;;;;;x
