#Code;English;French;German;Spanish;Russian;x
zgv_festival_green_3;Festival Green;;;;;x
zgv_festival_green_3_desc;An open grassy commons ringed with vendor stalls, where townsfolk gather for seasonal fairs and civic announcements.;;;;;x
zgv_village_stage_1;Village Stage;;;;;x
zgv_village_stage_1_desc;A simple raised earthen platform for local gatherings and performances, marking the beginnings of organized celebration.;;;;;x
zgv_dancers_platform_2;Dancers' Platform;;;;;x
zgv_dancers_platform_2_desc;An improved timber platform, attracting traveling performers and lively village dances, nurturing civic culture.;;;;;x
zgv_floats_yard_6;Floats Yard;;;;;x
zgv_floats_yard_6_desc;A secure enclosure for constructing and storing elaborate festival floats, spurring local crafts and urban pride.;;;;;x
zgv_musicians_pavilion_4;Musicians' Pavilion;;;;;x
zgv_musicians_pavilion_4_desc;A sturdy timber hall at the heart of the festival grounds, drawing minstrels and fostering local traditions.;;;;;x
zgv_celebration_court_5;Celebration Court;;;;;x
zgv_celebration_court_5_desc;A stone-paved plaza with ornate canopies, serving as the administrative and cultural heart for civic festivities and decrees.;;;;;x
zgv_procession_lane_7;Procession Lane;;;;;x
zgv_procession_lane_7_desc;A broad, cobbled avenue lined with banners and statues, designed for grand parades and civic processions, boosting trade and prestige.;;;;;x
zgv_market_ring_8;Market Ring;;;;;x
zgv_market_ring_8_desc;A ring of permanent shops, guild stalls, and counting houses encircling the festival grounds, drawing merchants from afar.;;;;;x
zgv_feasting_pavilion_9;Feasting Pavilion;;;;;x
zgv_feasting_pavilion_9_desc;A grand covered hall with kitchens and storerooms for hosting banquets, attracting nobles and inspiring trade and prosperity.;;;;;x
zgv_grand_festival_grounds_10;Grand Festival Grounds;;;;;x
zgv_grand_festival_grounds_10_desc;A sprawling urban complex of plazas, amphitheatres, colonnades, and markets, renowned throughout the realm as the jewel of civic celebration and commerce.;;;;;x
