#Code;English;French;German;Spanish;Russian;x
tp_shipyard_1;Timber Slipway;;;;;x
tp_shipyard_1_desc;A basic wooden ramp for launching and hauling smaller boats, constructed by the faithful to aid in river or coastal activity and modest pilgrim traffic.;;;;;x
tp_shipyard_2;Boat Landing;;;;;x
tp_shipyard_2_desc;A makeshift dock and gathering area, where pilgrims and clergy can disembark safely. Simple, but brings the faithful closer to the water and each other.;;;;;x
tp_shipyard_3;Wooden Dock;;;;;x
tp_shipyard_3_desc;A sturdier wooden dock for modest vessels, supporting pilgrim arrivals, temple processions, and small-scale naval activities under the temples auspices.;;;;;x
tp_shipyard_4;Covered Boathouse;;;;;x
tp_shipyard_4_desc;A fortified, roofed boathouse for protecting sacred vessels and housing clergy engaged in seaborne ministry, with space for workshops and religious gatherings.;;;;;x
tp_shipyard_5;Stone Wharf;;;;;x
tp_shipyard_5_desc;A professionally built stone wharf, allowing for the berthing of larger ships and greater volumes of religious travelers, trade, and temple influence.;;;;;x
tp_shipyard_6;Shipbuilders Shed;;;;;x
tp_shipyard_6_desc;A dedicated workshop for repairing and crafting ships, employing skilled craftsmen in service of the faith. Improves naval readiness and religious maritime influence.;;;;;x
tp_shipyard_7;Reinforced Shipyard;;;;;x
tp_shipyard_7_desc;A heavily fortified shipyard with stone walls, workshops, and barracks for religious guards. Ensures the protection of temple ships and asserts ecclesiastical authority over the port.;;;;;x
tp_shipyard_8;Dry Dock;;;;;x
tp_shipyard_8_desc;A permanent dry dock, enabling the construction and maintenance of large vessels dedicated to the faith. Attracts skilled labor and increases regional prosperity and security.;;;;;x
tp_shipyard_9;Expanded Dockyards;;;;;x
tp_shipyard_9_desc;A vast expansion of the shipyard, with multiple docks, warehouses, and housing for pilgrims, clergy, and craftsmen. A regional center of religious, economic, and naval power.;;;;;x
tp_shipyard_10;Grand Shipyard Complex;;;;;x
tp_shipyard_10_desc;A sprawling, monumental shipyard complex, the pride of the religious community. Capable of supporting pilgrim fleets, crusading flotillas, and international religious trade.;;;;;x
