#Code;English;French;German;Spanish;Russian;x
ca_shipyard_1;Timber Dock;;;;;x
ca_shipyard_1_desc;A rough wooden quay and makeshift storage for small boats, providing minimal naval support and a base for simple boat maintenance.;;;;;x
ca_shipyard_3;Fishing Wharf;;;;;x
ca_shipyard_3_desc;A bustling wharf with basic warehouses and fishing piers, supporting both local fleets and economic development.;;;;;x
ca_shipyard_2;Boat Slip;;;;;x
ca_shipyard_2_desc;Basic slipways and crude sheds for sheltering and repairing small boats, improving readiness and local economy.;;;;;x
ca_shipyard_7;Covered Slipway;;;;;x
ca_shipyard_7_desc;Large timber-and-tile slipways with covered workspaces allow year-round shipbuilding and rapid deployment of new vessels.;;;;;x
ca_shipyard_4;Boatworks;;;;;x
ca_shipyard_4_desc;A small yard with covered workspaces for constructing and refitting military launches, expanding naval preparedness.;;;;;x
ca_shipyard_5;Small Shipyard;;;;;x
ca_shipyard_5_desc;A modest stone-and-timber yard for building and maintaining patrol craft, with guarded stores and organized labor.;;;;;x
ca_shipyard_6;Expanded Dockyard;;;;;x
ca_shipyard_6_desc;Multiple piers, fortified stores, and expanded workshops enable the outfitting of larger ships and support for marines.;;;;;x
ca_shipyard_8;Naval Yard;;;;;x
ca_shipyard_8_desc;A fortified naval yard with stone quays, tall cranes, armories, and barracks, supporting the construction and maintenance of war galleys.;;;;;x
ca_shipyard_9;Harbor Shipyard;;;;;x
ca_shipyard_9_desc;A major harbor complex with fortified seawalls, deepwater berths, and advanced workshops for outfitting large fleets and merchant vessels.;;;;;x
ca_shipyard_10;Grand Shipyard;;;;;x
ca_shipyard_10_desc;A vast, bustling shipyard complex with monumental slipways, dry docks, fortified walls, and command towers, capable of supporting a powerful war fleet and controlling the sea lanes.;;;;;x
