#Code;English;French;German;Spanish;Russian;x
zsu_jungle_reed_shelter;Reed Shelter;;;;;x
zsu_jungle_reed_shelter_desc;Simple communal shelters raised from local reeds, allowing more settlers to weather the jungles storms and humidity.;;;;;x
zsu_jungle_clearing_hut;Clearing Hut;;;;;x
zsu_jungle_clearing_hut_desc;A rough shelter and tool station for initial settlement, assisting with jungle clearing and basic resource gathering.;;;;;x
zsu_jungle_palisade;Jungle Palisade;;;;;x
zsu_jungle_palisade_desc;A defensive palisade of sharpened logs, adapted for the jungle, offering protection from wild beasts and raiders.;;;;;x
zsu_jungle_raised_pathway;Raised Pathway;;;;;x
zsu_jungle_raised_pathway_desc;Elevated wooden walkways link key areas, improving movement and reducing loss of goods to mud and floods.;;;;;x
zsu_jungle_canopy_platform;Canopy Platform;;;;;x
zsu_jungle_canopy_platform_desc;Platforms built high in the jungle canopy for lookout, safe storage, and rapid signaling across the settlement.;;;;;x
zsu_jungle_bamboo_bridge;Bamboo Bridge;;;;;x
zsu_jungle_bamboo_bridge_desc;Sturdy bridges of woven bamboo span streams and ravines, expanding urban reach and facilitating trade and patrols.;;;;;x
zsu_jungle_storehouse;Jungle Storehouse;;;;;x
zsu_jungle_storehouse_desc;Large, elevated warehouses protect goods from humidity, pests, and theft, bolstering city prosperity and trade security.;;;;;x
zsu_jungle_watchtower;Jungle Watchtower;;;;;x
zsu_jungle_watchtower_desc;Tall timber towers overlook the jungle for miles, providing advance warning of threats and boosting local defenses and administration.;;;;;x
zsu_jungle_trading_post;Jungle Trading Post;;;;;x
zsu_jungle_trading_post_desc;A bustling commercial hub, drawing merchants from afar with exotic jungle goods and improved market protections.;;;;;x
zsu_grand_jungle_compound;Grand Jungle Compound;;;;;x
zsu_grand_jungle_compound_desc;A sprawling, fortified urban center, boasting market courts, high palisades, and advanced jungle logistics, true heart of the jungle city.;;;;;x
