#Code;English;French;German;Spanish;Russian;x
royal_donjon;Royal Donjon;;;;;x
royal_donjon_desc;The fortress is crowned with a mighty stone donjon, symbol of royal power, with broad quarters, high towers, and command of the realm.;;;;;x
bailey_citadel;Bailey Citadel;;;;;x
bailey_citadel_desc;A grand inner bailey is constructed, with thickest walls and elite garrison quarters, offering unmatched last-resort defense.;;;;;x
command_post;Command Post;;;;;x
command_post_desc;A fortress-within-a-fortress, with war rooms, signal towers, and master-at-arms, serving as the nerve center of the entire garrison.;;;;;x
marksman_bastion;Marksman's Bastion;;;;;x
marksman_bastion_desc;The pinnacle of medieval archery defense: vast stone bastions with internal galleries, murder holes, advanced firing angles, and space for elite marksmen to dominate the battlefield.;;;;;x
master_engineers_forge;Master Engineer's Forge;;;;;x
master_engineers_forge_desc;A legendary forge and command center where only the most skilled engineers craft and innovate the most formidable siege engines, unrivaled in both defense and attack.;;;;;x
veterans_quarters;Veterans' Quarters;;;;;x
veterans_quarters_desc;Luxurious apartments and strategic rooms for veteran warriors, commanders, and their retainers, granting superior command and fortitude.;;;;;x
fortress_keep;Fortress Keep;;;;;x
fortress_keep_desc;The entire complex is upgraded to a true fortress: multi-layered walls, bastions, and a central citadel command hall.;;;;;x
grand_gatehouse;Grand Gatehouse;;;;;x
grand_gatehouse_desc;The ultimate in medieval gate fortification: a towering, multi-tiered stone gatehouse complex with advanced defensive mechanisms, murder holes, multiple drawbridges, and living quarters for elite guards.;;;;;x
crossfire_platform;Crossfire Platform;;;;;x
crossfire_platform_desc;Large, interconnected wall platforms allowing multiple units of archers to coordinate deadly crossfire on all approaches, maximizing the defensive reach of the fort.;;;;;x
advanced_siege_works;Advanced Siege Works;;;;;x
advanced_siege_works_desc;A sprawling, fortified complex dedicated to the mass production, repair, and innovation of siege machinery. Greatly increases the fort's ability to withstand and inflict sieges.;;;;;x
armored_garrison;Armored Garrison;;;;;x
armored_garrison_desc;A heavily reinforced barracks with stone vaults and armories, housing elite soldiers and advanced siege defenses.;;;;;x
round_keep;Round Keep;;;;;x
round_keep_desc;The main keep is rebuilt in a round design, eliminating blind spots and improving resistance to undermining and siege engines.;;;;;x
fortified_entrance;Fortified Entrance;;;;;x
fortified_entrance_desc;A massive, stone-reinforced entrance with reinforced towers, improved parapets, and layered portcullises, creating a nearly impenetrable gateway.;;;;;x
shooting_turret;Shooting Turret;;;;;x
shooting_turret_desc;Specialized round or polygonal turrets projecting from the wall, supporting enfilade fire and offering archers protected vantage points at corners and gates.;;;;;x
siege_engine_hall;Siege Engine Hall;;;;;x
siege_engine_hall_desc;A grand hall of stone where master engineers oversee the production and deployment of a variety of siege engines, greatly empowering both defense and offense.;;;;;x
drill_yard;Drill Yard;;;;;x
drill_yard_desc;A fortified training ground within the barracks complex, where soldiers hone their skills under the watch of experienced officers.;;;;;x
barbican_entry;Barbican Entry;;;;;x
barbican_entry_desc;A strong outer barbican with towers, walls, and secondary gates, providing another obstacle before reaching the main gate.;;;;;x
sentinel_keep;Sentinel Keep;;;;;x
sentinel_keep_desc;A fortress-scale watchtower complex with curtain walls, drawbridge, and integrated barracks. Garrisoned by elite archers and officers, it forms the ultimate bulwark and command hub against any threat.;;;;;x
square_keep;Square Keep;;;;;x
square_keep_desc;A massive square stone keep rises at the center, housing nobles and officers, and providing command over the entire fortress.;;;;;x
covered_gallery;Covered Gallery;;;;;x
covered_gallery_desc;Fully enclosed wooden and stone passageways atop the walls, sheltering archers from incoming missiles while allowing concentrated volleys in defense.;;;;;x
observation_tower;Observation Tower;;;;;x
observation_tower_desc;A masterwork tower with high vantage points, telescopic sighting devices, and permanent staff of scouts and cartographers, ensuring unmatched intelligence gathering and defense coordination.;;;;;x
trebuchet_workshop;Trebuchet Workshop;;;;;x
trebuchet_workshop_desc;A stone and timber hall where the most advanced siege engines, such as trebuchets, are constructed and tested. Represents a leap in siege warfare.;;;;;x
double_gatehouse;Double Gatehouse;;;;;x
double_gatehouse_desc;A pair of gatehouses with a killing ground between them, forcing attackers to breach two separate sets of gates under concentrated missile fire.;;;;;x
troop_dormitory;Troop Dormitory;;;;;x
troop_dormitory_desc;A multi-story stone building with dedicated training yards and improved facilities, housing a large force and enabling swift reinforcement.;;;;;x
beacon_tower;Beacon Tower;;;;;x
beacon_tower_desc;The realms primary signal point, this tall stone tower is crowned with massive beacon fires visible for leagues. Extra garrison and messengers guarantee the alarm spreads instantly.;;;;;x
moated_keep;Moated Keep;;;;;x
moated_keep_desc;A deep moat is dug around the walls, with drawbridges and reinforced towers, deterring all but the most determined attackers.;;;;;x
