#Code;English;French;German;Spanish;Russian;x
grand_bath_facility;Grand Bath Facility;;;;;x
grand_bath_facility_desc;A monumental, marble-clad palace of healing waters and aromatic steams legendary for its comfort, prestige, and contributions to science and health.;;;;;x
grand_healing_garden;Grand Healing Garden;;;;;x
grand_healing_garden_desc;A legendary, labyrinthine garden combining medicinal, botanical, and scholarly wonders visited by famed healers, scholars, and nobles seeking cures, inspiration, and prestige.;;;;;x
steamed_bathhouse;Steamed Bathhouse;;;;;x
steamed_bathhouse_desc;Inspired by eastern innovations, this advanced bathhouse uses heated stones and controlled steam to cleanse and invigorate all who enter.;;;;;x
grand_provision_depot;Grand Provision Depot;;;;;x
grand_provision_depot_desc;A monumental stone complex with advanced ventilation, dedicated staff, and secure archives ensuring unmatched stability and prestige.;;;;;x
advanced_cookery;Advanced Cookery;;;;;x
advanced_cookery_desc;A state-of-the-art medieval kitchen, blending culinary innovation with rigorous cleanliness, supporting research into nutrition and the culinary arts. Its staff serve as a model for kitchens throughout the realm.;;;;;x
advanced_aqueduct_network;Advanced Aqueduct Network;;;;;x
advanced_aqueduct_network_desc;An interconnected marvel of stone, pipes, and filtration, this aqueduct system delivers pure water across the entire hospital complex and influences the province beyond, attracting scholars and healers alike.;;;;;x
sanitary_patient_wing;Sanitary Patient Wing;;;;;x
sanitary_patient_wing_desc;A luxurious and meticulously clean wing for the sick, with flowing water, tiled floors, and advanced care.;;;;;x
orchard_annex;Orchard Annex;;;;;x
orchard_annex_desc;A sprawling orchard of medicinal trees and fruit, supplementing the hospital's larder and providing rare ingredients for both healing and experimental remedies.;;;;;x
sanitary_laundry_facility;Sanitary Laundry Facility;;;;;x
sanitary_laundry_facility_desc;A state-of-the-art complex, featuring advanced sanitation, filtered water, and strict protocols, serving as a model for cleanliness and innovation.;;;;;x
indoor_bath_hall;Indoor Bath Hall;;;;;x
indoor_bath_hall_desc;A vast, covered hall with flowing water, advanced drainage, and a dedicated staff a marvel of medieval hygiene and engineering.;;;;;x
climate_controlled_store;Climate-Controlled Store;;;;;x
climate_controlled_store_desc;A marvel of passive engineering: thick walls, underground passages, and ice cellars to preserve even the most delicate supplies.;;;;;x
spacious_kitchen_hall;Spacious Kitchen Hall;;;;;x
spacious_kitchen_hall_desc;A grand hall for meal preparation and communal dining, with ample space for large-scale cooking, storage, and safe food distribution during crises.;;;;;x
advanced_surgery_hall;Advanced Surgery Hall;;;;;x
advanced_surgery_hall_desc;A grand hall for complex procedures, equipped with advanced tools, observation galleries for students, and sophisticated sanitation measures.;;;;;x
pressurized_water_supply;Pressurized Water Supply;;;;;x
pressurized_water_supply_desc;Complex mechanisms and sealed pipes provide pressurized water throughout the hospital, supporting advanced sanitation and research.;;;;;x
mechanical_washing_shed;Mechanical Washing Shed;;;;;x
mechanical_washing_shed_desc;A marvel of proto-industry, equipped with waterwheel-driven beaters and wringers, vastly increasing throughput and cleanliness.;;;;;x
expanded_medicinal_garden;Expanded Medicinal Garden;;;;;x
