#Code;English;French;German;Spanish;Russian;x
archer_training_marksmans_field;Marksmans Field;;;;;x
archer_training_marksmans_field_desc;A vast, permanent field for the most advanced archery tournaments, drawing the best marksmen from the region and cementing the tribes legendary reputation.;;;;;x
warlords_keep;Warlords Keep;;;;;x
warlords_keep_desc;An imposing fortress at the heart of the tribal realm, the seat of the warlord and symbol of absolute power.;;;;;x
mountain_mining_mountain_foundry;Mountain Foundry;;;;;x
mountain_mining_mountain_foundry_desc;A vast, smoke belching foundry complex, forging weapons, armor, and tools for the tribe. A symbol of power, wealth, and mastery over the mountain.;;;;;x
arctic_frozen_hearth_pavilion;Frozen Hearth Pavilion;;;;;x
arctic_frozen_hearth_pavilion_desc;An awe inspiring arctic palace, a marvel of communal engineering, with grand interiors, dozens of hearths, and space for vast assemblies, feasts, and the display of tribal might.;;;;;x
chiefs_watchtower;Chiefs Watchtower;;;;;x
chiefs_watchtower_desc;A towering wooden bastion overlooking the endless steppe, reserved for the clan chief and his most trusted warriors. Its construction marks the clan as undisputed masters of their domain.;;;;;x
chiefs_wind_lodge;Chiefs Wind Lodge;;;;;x
chiefs_wind_lodge_desc;An immense, masterfully constructed tribal palace, its halls insulated by thick walls and adorned with banners serving as the seat of power, unity, and defense for all the plainsfolk.;;;;;x
medicinal_pavilion;Medicinal Pavilion;;;;;x
medicinal_pavilion_desc;A grand pavilion dedicated to healing, study, and the preservation of rare jungle knowledge, drawing healers and warriors from afar and turning the garden into a beacon of tribal power.;;;;;x
farmlands_master_irrigators_hall;Master Irrigators Hall;;;;;x
farmlands_master_irrigators_hall_desc;A grand hall where master irrigators oversee the entire system, train apprentices, and maintain the waterworks, cementing the tribes dominance over the land and its abundance.;;;;;x
hilltop_signal_tower;Hilltop Signal Tower;;;;;x
hilltop_signal_tower_desc;A mighty signal tower, ringed with stone walls and barracks, dominating the hills and able to alert the entire region in moments.;;;;;x
steppe_livestock_hall;Steppe Livestock Hall;;;;;x
steppe_livestock_hall_desc;A monumental hall at the heart of the herding complex, blending administration, feasting, and martial musters for the tribes elite; the pride of the steppe.;;;;;x
arctic_transport_hall;Arctic Transport Hall;;;;;x
arctic_transport_hall_desc;The ultimate center for Arctic mobility: a fortified hall with advanced storage, command, and supply for rapid deployment of the tribes forces across the frozen wastes.;;;;;x
desert_oasis_well_oasis_keep;Oasis Keep;;;;;x
desert_oasis_well_oasis_keep_desc;A mighty stronghold rises above the oasis, its walls protecting water, people, and wealth. It is the jewel of the desert and a beacon of tribal power.;;;;;x
hilltop_quarry;Hilltop Quarry;;;;;x
hilltop_quarry_desc;A sprawling, fortified quarry atop the hill, dominating the landscape. Master stonemasons, guards, and overseers ensure abundant stone and tribal prosperity. The tribes might is manifest.;;;;;x
master_trapmakers_hall;Master Trapmakers Hall;;;;;x
master_trapmakers_hall_desc;A legendary hall of stone and rare woods, housing the master trapmakers of the jungle. Its defenses are unparalleled, and its influence felt across the realm.;;;;;x
arctic_anglers_hall;Arctic Anglers Hall;;;;;x
arctic_anglers_hall_desc;A monumental gathering hall of stone, wood, and bone, headquarters for Arctic fishers and a symbol of enduring tribal prosperity.;;;;;x
arctic_frozen_keep;Frozen Keep;;;;;x
arctic_frozen_keep_desc;A mighty keep carved from snow and ice, combining formidable defense with unmatched capacity for warriors and retinues.;;;;;x
tribal_council_chieftains_assembly;Chieftains Assembly;;;;;x
tribal_council_chieftains_assembly_desc;A mighty council chamber, ringed with stone and banners, where the greatest tribal lords meet in splendor and strength.;;;;;x
master_trainers_arena;Master Trainers Arena;;;;;x
master_trainers_arena_desc;A legendary steppe arena where the greatest horsemasters gather, attracting skilled trainers and warriors from across the land.;;;;;x
desert_oasis;Desert Oasis;;;;;x
desert_oasis_desc;The palm grove has matured into a true oasis, with stone structures, large reservoirs, a thriving market, and a legendary reputation across the sands.;;;;;x
chiefs_orchard;Chiefs Orchard;;;;;x
chiefs_orchard_desc;A grand orchard under the direct patronage of the tribal chief, with stone towers, guarded storehouses, and lush trees. It is a symbol of tribal unity, prosperity, and excess.;;;;;x
archer_training_hunting_arena;Hunting Arena;;;;;x
archer_training_hunting_arena_desc;A grand arena where archers compete in hunting trials, attracting onlookers and strengthening the tribes martial traditions.;;;;;x
hilltop_citadel_hilltop;Hilltop Citadel;;;;;x
hilltop_citadel_hilltop_desc;An imposing stone citadel, ringed with towers and thick walls, that serves as an unassailable bastion and the seat of tribal might for generations to come.;;;;;x
desert_fortress;Desert Fortress;;;;;x
desert_fortress_desc;An awe inspiring fortress of mudbrick and stone, ringed with layers of walls and towers. It dominates the region, serving as the unassailable heart of the tribe and a beacon of power across the sands.;;;;;x
master_hunters_lodge;Master Hunters Lodge;;;;;x
master_hunters_lodge_desc;A grand, fortified lodge for the tribes master hunters, equipped with storerooms, workshops, kennels, and ceremonial halls, cementing the tribes hunting legacy.;;;;;x
marketplace_trade_guildhouse;Trade Guildhouse;;;;;x
marketplace_trade_guildhouse_desc;An imposing guildhouse where merchant clans gather, trade is regulated, and the wealth of the tribe is managed.;;;;;x
mountain_keep;Mountain Keep;;;;;x
mountain_keep_desc;A mighty keep hewn from living rock, dominating the mountain pass and serving as the unchallenged seat of tribal power and defense.;;;;;x
alpine_fold;Alpine Fold;;;;;x
alpine_fold_desc;A legendary goat fold sprawling across the high peaks, the pride and might of the mountain tribe, famed far and wide.;;;;;x
master_anglers_wharf;Master Anglers Wharf;;;;;x
master_anglers_wharf_desc;The pride of the region: a vast and bustling wharf, famed for its skilled fishers, prosperous trade, and thriving community.;;;;;x
jungle_bastion;Jungle Bastion;;;;;x
jungle_bastion_desc;An awe inspiring complex of layered walls, fortified towers, and hidden paths an unassailable stronghold at the heart of the jungle, renowned across distant lands.;;;;;x
mountain_mining_chiefs_mining_hall;Chiefs Mining Hall;;;;;x
mountain_mining_chiefs_mining_hall_desc;A grand timber and stone hall where the chief oversees mining operations, hosts feasts, and dispenses justice. The heart of the mining settlement.;;;;;x
steppe_migration_hall;Steppe Migration Hall;;;;;x
steppe_migration_hall_desc;The pinnacle of nomad organization; a permanent hall for tribal leadership, strategic planning, and the display of captured banners and treasures.;;;;;x
chiefs_silo;Chiefs Silo;;;;;x
chiefs_silo_desc;A monumental, stone and timber silo, the pride of the tribe. Vast reserves ensure unmatched readiness, support for a grand court, and legendary prestige among all clans.;;;;;x
arctic_gathering_hall;Arctic Gathering Hall;;;;;x
arctic_gathering_hall_desc;A monumental hall constructed of stone and timber, with advanced insulation and a network of central hearths, acting as the true heart of the tribes social and political life.;;;;;x
master_blacksmiths_shop;Master Blacksmiths Shop;;;;;x
master_blacksmiths_shop_desc;An illustrious workshop where master smiths craft legendary arms, attracting warriors from afar and cementing the tribes martial renown.;;;;;x
master_irrigators_tower;Master Irrigators Tower;;;;;x
master_irrigators_tower_desc;A grand tower rises above the plains, housing the tribes irrigation masters who oversee the vast, intricate waterworks and greatly enhance the prosperity, size, and reputation of the realm.;;;;;x
jungle_reservoir;Jungle Reservoir;;;;;x
jungle_reservoir_desc;The crowning achievement: a massive earthwork and stone lined reservoir, supporting a thriving population, vast retinues, and unyielding defense.;;;;;x
heros_sanctuary;Heros Sanctuary;;;;;x
heros_sanctuary_desc;A revered sanctuary honoring legendary warriors, surrounded by statues and filled with relics of past glories.;;;;;x
tribal_berry_pavilion;Berry Pavilion;;;;;x
tribal_berry_pavilion_desc;A grand pavilion overlooks the groves, hosting feasts, councils, and war councils a symbol of the tribes unity and might.;;;;;x
steppe_oasis;Steppe Oasis;;;;;x
steppe_oasis_desc;A sprawling, fortified oasis complex with multiple wells, basins, and gathering halls. The heart of the tribes power, it sustains armies, hosts great councils, and symbolizes tribal might.;;;;;x
fortified_compound;Fortified Compound;;;;;x
fortified_compound_desc;A sprawling, multi layered stronghold with reinforced earthworks, wooden towers, and secure barracks, forming the heart of tribal power.;;;;;x
harvest_pavilion;Harvest Pavilion;;;;;x
harvest_pavilion_desc;A monumental gathering hall and storehouse, seat of the tribes feasts, boasting unparalleled storage and reinforcing tribal pride.;;;;;x
harvest_pavilion;Harvest Pavilion;;;;;x
harvest_pavilion_desc;The crowning achievement: a monumental pavilion where harvest festivals are held, and surplus is displayed for all to see a symbol of abundance and unity.;;;;;x
harvest_hall;Harvest Hall;;;;;x
harvest_hall_desc;An impressive, multi story hall at the heart of the farmland, serving as the administrative, ceremonial, and logistical center for all crop storage, processing, and feasts. A true symbol of tribal prosperity.;;;;;x
community_beacon;Community Beacon;;;;;x
community_beacon_desc;A beacon complex including a signal tower, village enclosure, and communal hall, allowing the whole tribe to muster at the first sign of smoke.;;;;;x
bannered_lookout;Bannered Lookout;;;;;x
bannered_lookout_desc;A grand lookout crowned with tribal banners and symbols, this post is a rallying point for warriors and a symbol of clan unity and strength.;;;;;x
chiefs_stud_farm;Chiefs Stud Farm;;;;;x
chiefs_stud_farm_desc;A grand and well guarded stud farm, home to the tribes best horses and master trainers. It is the pride of the plains.;;;;;x
master_scout_camp;Master Scout Camp;;;;;x
master_scout_camp_desc;The ultimate scout headquarters, with advanced facilities, elite instructors, and a permanent force ready to respond instantly to any threat.;;;;;x
insulated_hall;Insulated Hall;;;;;x
insulated_hall_desc;A grand longhouse with thick walls of stone and timber, tightly sealed against the wind, serving as a center for tribal governance and feasting.;;;;;x
beast_breeders_hall;Beast Breeders Hall;;;;;x
beast_breeders_hall_desc;A grand hall where skilled breeders oversee the finest herds, supporting massive livestock populations and attracting ambitious courtiers and warriors alike.;;;;;x
jungle_grove;Jungle Grove;;;;;x
jungle_grove_desc;A sacred grove within the jungle, cultivated for rare and medicinal plants, attracting wise folk and boosting the tribes prestige and resources.;;;;;x
community_fort_farmlands;Community Fort;;;;;x
community_fort_farmlands_desc;A stone walled communal fortress, symbol of unity and pride, able to host the entire settlement in times of peril and serve as a seat of local authority.;;;;;x
arctic_arctic_cache;Arctic Cache;;;;;x
arctic_arctic_cache_desc;A legendary complex of fortified vaults and outbuildings, safeguarded by elite guards and renowned as a center of prosperity and tribal power.;;;;;x
chiefs_herd_house;Chiefs Herd House;;;;;x
chiefs_herd_house_desc;A grand, fortified structure serving as both livestock headquarters and a symbol of the chiefs wealth, attracting skilled riders and warriors to the tribe.;;;;;x
mountain_cliff_watchpost_mountain_bastion;Mountain Bastion;;;;;x
mountain_bastion_desc;A mighty fortress hewn into the living rock, bristling with archers and retinues, symbolizing the unyielding spirit of the mountain tribe.;;;;;x
highland_pavilion;Highland Pavilion;;;;;x
highland_pavilion_desc;A grand pavilion atop the mountain, hosting grain reserves, feasts, and councils ultimate symbol of tribal strength and prosperity.;;;;;x
master_tanners_workshop;Master Tanners Workshop;;;;;x
