#Code;English;French;German;Spanish;Russian;x
sanctified_grove_of_recovery;Sanctified Grove of Recovery;;;;;x
sanctified_grove_of_recovery_desc;A revered woodland sanctuary where ancient trees shelter the sick and wounded. Here, the most advanced tribal healing and knowledge converge, making the grove a beacon of hope for the entire realm.;;;;;x
spirit_ward_enclosure;Spirit Ward Enclosure;;;;;x
spirit_ward_enclosure_desc;A sacred enclosure ringed with stone and bone, designed to keep out pestilence and misfortune. The enclosure is tended day and night by the most trusted healers.;;;;;x
stone_medicine_house;Stone Medicine House;;;;;x
stone_medicine_house_desc;A fortified stone structure dedicated to healing practices, filled with tools, stores of medicinal herbs, and rooms for the afflicted. Knowledge is preserved in carvings and oral tradition.;;;;;x
ancestral_healing_hall;Ancestral Healing Hall;;;;;x
ancestral_healing_hall_desc;A great timbered longhouse dedicated to the memory and teachings of ancestral healers. Here, medicine, wisdom, and tradition are shared, and the sick receive the most advanced tribal care.;;;;;x
smoke_lodge;Smoke Lodge;;;;;x
smoke_lodge_desc;A vast healing lodge of stone and timber, filled with fragrant smoke for purification and disease prevention. The lodge is renowned for its effectiveness and the wisdom of its healers.;;;;;x
shamans_shelter;Shamans Shelter;;;;;x
shamans_shelter_desc;A large, insulated wooden lodge where the tribes most skilled healers reside. Here, advanced traditional treatments are administered, and the knowledge of generations is preserved.;;;;;x
bone_charm_circle;Bone Charm Circle;;;;;x
bone_charm_circle_desc;A ring of carefully placed animal bones and carved tokens, believed to ward off illness and evil spirits. The circle is tended by the tribes healers and serves as a protective focus for the sick.;;;;;x
herbalists_hut;Herbalists Hut;;;;;x
herbalists_hut_desc;A modest structure of wood and earth where skilled herbalists gather, tending to their stores of roots and tinctures. The hut is a place of healing knowledge and craft.;;;;;x
healing_clearing;Healing Clearing;;;;;x
healing_clearing_desc;A secluded clearing set aside for rest and recovery, with primitive shelters and a ritual focus for natural healing. Herbal smoke and fresh air aid convalescence.;;;;;x
sacred_hearth;Sacred Hearth;;;;;x
sacred_hearth_desc;A simple communal fire ring surrounded by woven mats where the sick and wounded gather for warmth and basic remedies. The heart of tribal healing in unsettled lands.;;;;;x
