#Code;English;French;German;Spanish;Russian;x
amk_grassland_pen;Grassland Pen;;;;;x
amk_grassland_pen_desc;A makeshift livestock pen of woven brush and earthworks, hastily assembled by the first settlers to corral their herds on the open plains.;;;;;x
amk_open_range;Open Range;;;;;x
amk_open_range_desc;Vast stretches of grassland marked only by simple boundary stones and watchfires, allowing herds to graze freely under clan supervision.;;;;;x
amk_plains_corral;Plains Corral;;;;;x
amk_plains_corral_desc;A sturdy corral of timber and sod, providing better control over livestock during seasonal migrations across the grasslands.;;;;;x
amk_wooden_stockade;Wooden Stockade;;;;;x
amk_wooden_stockade_desc;A fortified enclosure of sharpened logs, offering protection against predators and raiders, while increasing the security of valuable herds.;;;;;x
amk_roving_herd_field;Roving Herd Field;;;;;x
amk_roving_herd_field_desc;Expansive fields mapped and rotated to prevent overgrazing, with roving herders and shelters to support year-round livestock movement.;;;;;x
amk_fenced_pasture;Fenced Pasture;;;;;x
amk_fenced_pasture_desc;Broad, permanent pastures surrounded by sturdy fencing, supporting the expansion of large herds and the growth of nomadic prosperity.;;;;;x
amk_shepherds_hut;Shepherds Hut;;;;;x
amk_shepherds_hut_desc;A network of huts for herders and their families, providing shelter, oversight, and improved coordination among the clans' stockmen.;;;;;x
amk_grazing_commons;Grazing Commons;;;;;x
amk_grazing_commons_desc;Communal grazing lands administered by the elders, with shared resources and oversight fostering unity and efficient livestock management.;;;;;x
amk_plains_livestock_pavilion;Plains Livestock Pavilion;;;;;x
amk_plains_livestock_pavilion_desc;A vast pavilion of felt and timber, serving as a seasonal center for fairs, livestock trade, and the gathering of nomadic chieftains.;;;;;x
amk_grand_steppe_grazing_hall;Grand Plains Grazing Hall;;;;;x
amk_grand_steppe_grazing_hall_desc;A monumental hall of the plains, symbolizing the might of the plains clans, hosting livestock auctions, clan councils, and feasts of unity.;;;;;x
