#Code;English;French;German;Spanish;Russian;x
awt_tibetan_salt_lick;Salt Lick;;;;;x
awt_tibetan_salt_lick_desc;A simple salt-encrusted rock or shallow pit that herders use to attract and maintain their herds. Essential for livestock health and nomad sustenance.;;;;;x
awt_tibetan_salt_pit;Salt Pit;;;;;x
awt_tibetan_salt_pit_desc;Primitive excavations in salt-rich ground, these pits allow nomads to gather greater quantities of salt, vital for both animals and trade.;;;;;x
awt_tibetan_salt_shed;Salt Shed;;;;;x
awt_tibetan_salt_shed_desc;A sturdy timber and hide structure for storing harvested salt, protecting it from the elements and pilfering, and ensuring stable supplies for the horde.;;;;;x
awt_tibetan_stone_storage;Stone Storage;;;;;x
awt_tibetan_stone_storage_desc;A reinforced stone storehouse, insulated to protect large salt reserves from dampness. Enables more ambitious logistics and trade.;;;;;x
awt_tibetan_salt_pavilion;Salt Pavilion;;;;;x
awt_tibetan_salt_pavilion_desc;A grand tented pavilion for the overseers of the salt trade, serving as a hub for salt merchants and caravan leaders. Marks the start of organized salt commerce.;;;;;x
awt_tibetan_market_stand;Market Stand;;;;;x
awt_tibetan_market_stand_desc;A bustling cluster of trading stalls, where salt is exchanged for goods, livestock, and favors. Increases the hordes wealth and draws merchants from far and wide.;;;;;x
awt_tibetan_expanded_hall;Expanded Hall;;;;;x
awt_tibetan_expanded_hall_desc;A large semi-permanent hall of timber and stone, where salt traders and clan leaders meet to set prices and policies. Centralizes salt trade and enhances population support.;;;;;x
awt_tibetan_traders_pavilion;Traders Pavilion;;;;;x
awt_tibetan_traders_pavilion_desc;A lavish tented complex for foreign merchants, with secure storage, meeting tents, and guards. Boosts salt trade revenue and increases movement along trade routes.;;;;;x
awt_tibetan_salt_guildhall;Salt Guildhall;;;;;x
awt_tibetan_salt_guildhall_desc;A fortified compound for the salt merchant guild, with its own guards, bookkeepers, and trading courts. Oversees all salt commerce and clan agreements.;;;;;x
awt_tibetan_salt_guild;Tibetan Salt Guild;;;;;x
awt_tibetan_salt_guild_desc;The supreme authority in salt trade for the entire region, with a sprawling compound, courts, watchtowers, and caravansaries. Dictates salt policy and ensures the hordes dominance in the lucrative salt routes.;;;;;x
