#Code;English;French;German;Spanish;Russian;x
bzu_jewish_market_open_table;Open Table;;;;;x
bzu_jewish_market_open_table_desc;A rough table or plank set out in the open, where the first traders gather with their goods. The beginnings of commerce for a wandering clan.;;;;;x
bzu_jewish_market_barter_patch;Barter Patch;;;;;x
bzu_jewish_market_barter_patch_desc;A loosely organized patch of ground where barterers, peddlers, and hucksters gather. The market begins to attract more nomads and traders.;;;;;x
bzu_jewish_market_traders_tent;Traders Tent;;;;;x
bzu_jewish_market_traders_tent_desc;A large tent at the center of the market, where itinerant Jewish merchants gather to exchange news and goods, and offer shelter to traveling traders.;;;;;x
bzu_jewish_market_merchants_pavilion;Merchants Pavilion;;;;;x
bzu_jewish_market_merchants_pavilion_desc;An ornate pavilion of heavy cloth and timber, serving as a hub for trusted merchants and traveling moneychangers. Commerce flourishes.;;;;;x
bzu_jewish_market_market_stand;Market Stand;;;;;x
bzu_jewish_market_market_stand_desc;A row of sturdy wooden stands, protected from wind and sun, where sellers can reliably display wares. The market becomes a regional focal point.;;;;;x
bzu_jewish_market_exchange_room;Exchange Room;;;;;x
bzu_jewish_market_exchange_room_desc;A reinforced tent or timber structure where trusted brokers and Jewish moneylenders operate, enabling rapid exchange of currency and goods. Trade routes begin to converge here.;;;;;x
bzu_jewish_market_market_hall;Market Hall;;;;;x
bzu_jewish_market_market_hall_desc;A grand wooden hall, decorated with banners and mezuzot, where merchants gather from afar. It boasts guarded storerooms and permanent stalls.;;;;;x
bzu_jewish_market_guild_pavilion;Guild Pavilion;;;;;x
bzu_jewish_market_guild_pavilion_desc;A magnificent pavilion for the guilds of Jewish merchants and financiers, offering mediation for disputes and attracting elite traders from distant lands.;;;;;x
bzu_jewish_market_grand_market_room;Grand Market Room;;;;;x
bzu_jewish_market_grand_market_room_desc;A fortified wooden structure with engraved doors, permanent offices for tax collectors, and a gathering place for the most influential traders and rabbis.;;;;;x
bzu_jewish_market_jewish_grand_market;Jewish Grand Market;;;;;x
bzu_jewish_market_jewish_grand_market_desc;A legendary economic heart for all nomadic Jews, this sprawling market is known across the steppes. Its wealth and unity inspire all who gather within.;;;;;x
