#Code;English;French;German;Spanish;Russian;x
chn_archery_target_patch;Target Patch;;;;;x
chn_archery_target_patch_desc;A makeshift patch of earth with simple wooden stakes and bundled straw for practicing basic bow skills.;;;;;x
chn_archery_straw_bale_range;Straw Bale Range;;;;;x
chn_archery_straw_bale_range_desc;A simple range using straw bales and basic markers, allowing clansmen to train with bows in an organized, if still primitive, setting.;;;;;x
chn_archery_basic_archery_lane;Basic Archery Lane;;;;;x
chn_archery_basic_archery_lane_desc;A cleared and measured archery lane with marked distances and simple windbreaks, enabling more disciplined training.;;;;;x
chn_archery_horse_archer_field;Horse Archer Field;;;;;x
chn_archery_horse_archer_field_desc;A broad field designed for practicing archery from horseback, with moving targets and riding lanes for nomad warriors.;;;;;x
chn_archery_advanced_target_range;Advanced Target Range;;;;;x
chn_archery_advanced_target_range_desc;A sophisticated range with distance markers, elevated platforms, and rotating targets for both foot and mounted archers.;;;;;x
chn_archery_composite_bow_yard;Composite Bow Yard;;;;;x
chn_archery_composite_bow_yard_desc;A dedicated yard for the crafting, maintenance, and advanced training with composite bows, raising standards for the entire clan.;;;;;x
chn_archery_expert_archer_track;Expert Archer Track;;;;;x
chn_archery_expert_archer_track_desc;A large, well-prepared circuit with challenging obstacles and moving targets designed to produce elite archers and horse archers.;;;;;x
chn_archery_mounted_shooting_gallery;Mounted Shooting Gallery;;;;;x
chn_archery_mounted_shooting_gallery_desc;A specialized gallery for advanced mounted archery, with wheeled targets and elaborate training courses for seasoned warriors.;;;;;x
chn_archery_sharpshooter_park;Sharpshooter Park;;;;;x
chn_archery_sharpshooter_park_desc;An expansive, professionally maintained park for elite archers—offering long-range lanes, wind towers, and communal competitions.;;;;;x
chn_archery_master_archer_arena;Master Archer Arena;;;;;x
chn_archery_master_archer_arena_desc;A legendary arena for clan-wide tournaments, with permanent stone grandstands, advanced facilities, and a tradition of producing peerless archers.;;;;;x
