#Code;English;French;German;Spanish;Russian;x
chr_wooden_totem;Wooden Totem;;;;;x
chr_wooden_totem_desc;A crude wooden post carved with runes, marking the first step in honoring the spirits of the land and unifying the tribe around a powerful symbol.;;;;;x
chr_carved_idol;Carved Idol;;;;;x
chr_carved_idol_desc;A finely worked wooden idol, more detailed than the first totem, reinforcing spiritual unity and deepening tribal traditions.;;;;;x
chr_totem_pavilion;Totem Pavilion;;;;;x
chr_totem_pavilion_desc;A large hide pavilion is erected, sheltering sacred objects and totems, serving as a focus for tribal gatherings and rites.;;;;;x
chr_spirit_room;Spirit Room;;;;;x
chr_spirit_room_desc;A sacred yurt reserved for shamanic rituals, filled with offerings and relics, strengthening the spiritual heart of the tribe.;;;;;x
chr_priests_chamber;Priests Chamber;;;;;x
chr_priests_chamber_desc;A permanent wooden structure for the tribes shamans and priests, providing a place for council and guiding the spiritual life of the clan.;;;;;x
chr_sanctified_hall;Sanctified Hall;;;;;x
chr_sanctified_hall_desc;A grand hall adorned with sacred tapestries and relics, a center for ceremony and a visible sign of the tribes faith and power.;;;;;x
chr_ancestor_hall;Ancestor Hall;;;;;x
chr_ancestor_hall_desc;A revered space dedicated to the honored ancestors, housing their effigies and bones, inspiring unity and reverence among the people.;;;;;x
chr_blessed_pavilion;Blessed Pavilion;;;;;x
chr_blessed_pavilion_desc;A richly decorated and sanctified tent complex, hosting major tribal festivals and sacred rites, drawing pilgrims from afar.;;;;;x
chr_totem_sanctuary;Totem Sanctuary;;;;;x
chr_totem_sanctuary_desc;A fortified and sacred enclosure, housing the tribes holiest relics and serving as the spiritual and political heart of the clans domain.;;;;;x
chr_pagan_totem_hall;Pagan Totem Hall;;;;;x
chr_pagan_totem_hall_desc;A monumental hall of wood and stone, adorned with the symbols of all ancestors and spirits, a wonder of faith and the unbreakable heart of the tribe.;;;;;x
