#Code;English;French;German;Spanish;Russian;x
cwx_earthen_pit_nomad;Earthen Pit;;;;;x
cwx_earthen_pit_nomad_desc;A simple pit dug in the earth, covered with reeds and hides. Used for the most basic storage of grain and supplies, vulnerable to the elements and pests.;;;;;x
cwx_woven_basket_nomad;Woven Basket;;;;;x
cwx_woven_basket_nomad_desc;Tough baskets woven from reeds and grass allow nomads to store and transport grain more easily, slightly improving supply and population growth.;;;;;x
cwx_mudbrick_hut_nomad;Mudbrick Hut;;;;;x
cwx_mudbrick_hut_nomad_desc;Small huts of sun-dried bricks allow more secure storage, increasing the capacity for food and supplies, and boosting clan sentiment due to improved living conditions.;;;;;x
cwx_raised_silo_nomad;Raised Silo;;;;;x
cwx_raised_silo_nomad_desc;Wooden silos raised on stilts help protect valuable grain stores from moisture and vermin, allowing for even greater population and manpower, and improving supply lines.;;;;;x
cwx_guarded_storehouse_nomad;Guarded Storehouse;;;;;x
cwx_guarded_storehouse_nomad_desc;A fortified storehouse guarded by trusted warriors. Supplies are carefully watched, improving security, manpower, and storage, and making the clan better prepared for hardship.;;;;;x
cwx_rodent_proof_hut_nomad;Rodent-Proof Hut;;;;;x
cwx_rodent_proof_hut_nomad_desc;Advanced mud and stone huts with sealed floors and walls. Grain stores are protected from pests, reducing waste, and increasing overall population and manpower cap.;;;;;x
cwx_expanded_store_nomad;Expanded Store;;;;;x
cwx_expanded_store_nomad_desc;A sprawling complex of interconnected silos, huts, and covered storage, allowing the clan to flourish, store massive reserves, and project strength through sheer numbers.;;;;;x
cwx_market_pavilion_nomad;Market Pavilion;;;;;x
cwx_market_pavilion_nomad_desc;A great tented pavilion where traders gather to exchange goods, grain, and livestock. The clan prospers from increased commerce, population, and improved sentiment.;;;;;x
cwx_grain_exchange_hall_nomad;Grain Exchange Hall;;;;;x
cwx_grain_exchange_hall_nomad_desc;A permanent hall of trade where grain is measured, exchanged, and stored for the benefit of the entire clan. This boosts population, manpower, supply, and unity.;;;;;x
cwx_indian_granary_nomad;Indian Granary;;;;;x
cwx_indian_granary_nomad_desc;Inspired by the great granaries of the Indian subcontinent, this monumental structure ensures the clans prosperity through unrivaled storage, logistics, and unity. It is a symbol of civilization and plenty.;;;;;x
