#Code;English;French;German;Spanish;Russian;x
cyq_hammer_stand_westgermanic_nomad;Hammer Stand;;;;;x
cyq_hammer_stand_westgermanic_nomad_desc;A simple, mobile wooden rack for hammers and basic tools, providing minimal smithing ability for a traveling clan.;;;;;x
cyq_basic_anvil_shed_westgermanic_nomad;Basic Anvil Shed;;;;;x
cyq_basic_anvil_shed_westgermanic_nomad_desc;A makeshift iron-topped anvil beneath a crude hide shelter, allowing for rudimentary repairs and toolmaking on the move.;;;;;x
cyq_simple_smithy_westgermanic_nomad;Simple Smithy;;;;;x
cyq_simple_smithy_westgermanic_nomad_desc;A semi-permanent forge, with a portable bellows and a dirt floor, enabling the production of basic weapons and horse tack for the horde.;;;;;x
cyq_ironworkers_hut_westgermanic_nomad;Ironworkers Hut;;;;;x
cyq_ironworkers_hut_westgermanic_nomad_desc;A sturdy wooden hut with a clay forge and small team of smiths, improving the clans ability to equip warriors and repair gear rapidly.;;;;;x
cyq_blacksmith_pavilion_westgermanic_nomad;Blacksmith Pavilion;;;;;x
cyq_blacksmith_pavilion_westgermanic_nomad_desc;A large tented area with several anvils and forges, where clan smiths work in shifts to maintain and enhance weapons for the horde.;;;;;x
cyq_fine_forging_room_westgermanic_nomad;Fine Forging Room;;;;;x
cyq_fine_forging_room_westgermanic_nomad_desc;A semi-permanent timber and daub structure, with advanced forges and trained artisans, producing superior weapons and harnesses for the clan.;;;;;x
cyq_guild_smithy_westgermanic_nomad;Guild Smithy;;;;;x
cyq_guild_smithy_westgermanic_nomad_desc;A renowned smithing guild operates from this robust structure, attracting skilled crafters and increasing the clans ability to outfit large hordes.;;;;;x
cyq_weaponsmith_hall_westgermanic_nomad;Weaponsmith Hall;;;;;x
cyq_weaponsmith_hall_westgermanic_nomad_desc;A fortified hall dedicated to the production of fine arms and armor, where master smiths work under the protection of the clan.;;;;;x
cyq_master_smith_workshop_westgermanic_nomad;Master Smith Workshop;;;;;x
cyq_master_smith_workshop_westgermanic_nomad_desc;An elite smithing compound where legendary craftsmen forge signature weapons and armor, raising the status and strength of the horde.;;;;;x
cyq_west_grand_forge_westgermanic_nomad;West Grand Forge;;;;;x
cyq_west_grand_forge_westgermanic_nomad_desc;The legendary Grand Forge of the West Germanic nomads, a sprawling and nearly immobile smithing complex, famous across the steppe for outfitting entire clans with unmatched arms and armor.;;;;;x
