#Code;English;French;German;Spanish;Russian;x
dmb_walled_garden_patch;Walled Garden Patch;;;;;x
dmb_walled_garden_patch_desc;A makeshift earthwork enclosure to grow hardy herbs and roots, surrounded by simple wicker fencing.;;;;;x
dmb_irrigated_bed;Irrigated Bed;;;;;x
dmb_irrigated_bed_desc;Raised soil beds with ditches to guide water, allowing more diverse crops to flourish even in dry seasons.;;;;;x
dmb_fruit_pavilion;Fruit Pavilion;;;;;x
dmb_fruit_pavilion_desc;A tented pavilion providing shelter for fruit trees and vines, guarded from wind and sand, offering sweet harvests.;;;;;x
dmb_flower_stand;Flower Stand;;;;;x
dmb_flower_stand_desc;Raised flowerbeds and trellises, tended for beauty as well as subtle signals to allies and rivals alike.;;;;;x
dmb_scented_room;Scented Room;;;;;x
dmb_scented_room_desc;A richly adorned tent or chamber filled with aromatic blossoms and herbs, fostering unity and courtly intrigue.;;;;;x
dmb_courtyard_hall;Courtyard Hall;;;;;x
dmb_courtyard_hall_desc;A central open hall surrounded by sheltered arcades, gathering the clan for feasts, judgments, and council.;;;;;x
dmb_windcatcher_pavilion;Windcatcher Pavilion;;;;;x
dmb_windcatcher_pavilion_desc;Tall, vented towers and canvas structures that cool and ventilate, making the central encampment bearable through the fiercest heat.;;;;;x
dmb_fountain_garden;Fountain Garden;;;;;x
dmb_fountain_garden_desc;A lavish display of waterworks, with trickling fountains and marble basins, symbolizing power and bringing life to all who gather.;;;;;x
dmb_rose_chamber;Rose Chamber;;;;;x
dmb_rose_chamber_desc;A perfumed sanctuary lined with rare roses, reserved for the ruler and honored guests. Politics, poetry, and alliances blossom here.;;;;;x
dmb_iranian_paradise_pavilion;Iranian Paradise Pavilion;;;;;x
dmb_iranian_paradise_pavilion_desc;A sprawling, walled garden of splendor, with pavilions, pools, and shaded paths evoking Irans legendary paradise. Immense prestige and unity flow from this wondrous seat.;;;;;x
