#Code;English;French;German;Spanish;Russian;x
dmp_wooden_bell_stand;Wooden Bell Stand;;;;;x
dmp_wooden_bell_stand_desc;A makeshift wooden frame raised on the steppe, used to hang a rough bell. It serves as the spiritual and communal gathering point for nomadic Christians, calling clans to prayer and council.;;;;;x
dmp_stone_bell_post;Stone Bell Post;;;;;x
dmp_stone_bell_post_desc;A sturdier bell post crafted from local stone, providing a more permanent place of worship and a visible symbol of faith. It strengthens clan unity and raises the prestige of the host.;;;;;x
dmp_bell_room;Bell Room;;;;;x
dmp_bell_room_desc;A canvas-walled chamber for the bell and its ringer, providing shelter and structure for regular worship. This space fosters community and displays the clans growing devotion.;;;;;x
dmp_ringers_pavilion;Ringers Pavilion;;;;;x
dmp_ringers_pavilion_desc;A large, decorated tent housing the bell, ringer, and a small altar. It serves as a center for Christian rites, feasts, and council, further binding the clan together.;;;;;x
dmp_defended_tower;Defended Tower;;;;;x
dmp_defended_tower_desc;A wooden watchtower with a bell chamber atop, guarded and visible from afar. Its presence inspires unity and reverence while serving as a rallying point in times of need.;;;;;x
dmp_high_bell_chamber;High Bell Chamber;;;;;x
dmp_high_bell_chamber_desc;A tall, reinforced structure with a bell that can be heard for miles, symbolizing the endurance of Christian faith on the open steppe. Its call strengthens unity and resolve.;;;;;x
dmp_canopied_bell_hall;Canopied Bell Hall;;;;;x
dmp_canopied_bell_hall_desc;An ornate, canopied wooden hall, elaborately decorated and able to host large gatherings for worship and council. It is a symbol of Christian unity and prestige among the clans.;;;;;x
dmp_sanctified_tower;Sanctified Tower;;;;;x
dmp_sanctified_tower_desc;A tall stone tower, consecrated for Christian worship, adorned with icons and relics. The towers bell calls the faithful from afar and inspires awe in friend and foe alike.;;;;;x
dmp_belfry_room;Belfry Room;;;;;x
dmp_belfry_room_desc;A grand chamber atop the sanctified tower, fitted with multiple bells, banners, and space for clergy. It serves as the spiritual heart of the clans domain.;;;;;x
dmp_christian_campanile;Christian Campanile;;;;;x
dmp_christian_campanile_desc;A monumental bell tower, visible for leagues around, richly adorned and a beacon to the faithful. It marks the clans devotion and grants unmatched prestige and unity to all who dwell nearby.;;;;;x
