#Code;English;French;German;Spanish;Russian;x
dmu_wild_vine_patch_nomad_iberian;Wild Vine Patch;;;;;x
dmu_wild_vine_patch_nomad_iberian_desc;A rough clearing in the wilds, where hardy Iberian grapevines are left to grow among the brush. Tended by a handful of nomads, it is a humble start to a grand dream.;;;;;x
dmu_trellised_vine_nomad_iberian;Trellised Vine;;;;;x
dmu_trellised_vine_nomad_iberian_desc;Simple wooden trellises are erected, allowing vines to flourish and be more easily harvested. The beginnings of proper cultivation increase both yield and clan pride.;;;;;x
dmu_harvest_shelter_nomad_iberian;Harvest Shelter;;;;;x
dmu_harvest_shelter_nomad_iberian_desc;Temporary canvas shelters and brush huts are erected in the vineyard for seasonal workers, improving grape gathering and supporting larger harvests.;;;;;x
dmu_wine_press_hut_nomad_iberian;Wine Press Hut;;;;;x
dmu_wine_press_hut_nomad_iberian_desc;A sturdy timber hut houses the first hand-turned wine press, allowing for more efficient production and storage of the precious grape must.;;;;;x
dmu_aged_barrel_room_nomad_iberian;Aged Barrel Room;;;;;x
dmu_aged_barrel_room_nomad_iberian_desc;A low, stone-lined cellar is dug into the earth, fitted with imported oak barrels for aging wine. The clans reputation for fine vintages grows considerably.;;;;;x
dmu_walled_vineyard_nomad_iberian;Walled Vineyard;;;;;x
dmu_walled_vineyard_nomad_iberian_desc;Low stone walls encircle the now sprawling vineyard, protecting it against wild animals, thieves, and the elements. Order and security greatly increase output.;;;;;x
dmu_merchants_winehouse_nomad_iberian;Merchants Winehouse;;;;;x
dmu_merchants_winehouse_nomad_iberian_desc;A bustling timber and stone building, complete with storerooms, tasting chambers, and a trading post, drawing merchants and travelers from afar.;;;;;x
dmu_vintners_pavilion_nomad_iberian;Vintners Pavilion;;;;;x
dmu_vintners_pavilion_nomad_iberian_desc;A splendid tented pavilion serves as both a center for wine judging and a symbol of prestige. The best grapes are selected here, and the clans renown swells.;;;;;x
dmu_cellar_hall_nomad_iberian;Cellar Hall;;;;;x
dmu_cellar_hall_nomad_iberian_desc;A grand, stone-vaulted cellar beneath the vines, filled with barrels and jars. It is both a place of storage and a meeting hall for the clans leaders and merchants.;;;;;x
dmu_iberian_grand_winery_nomad_iberian;Iberian Grand Winery;;;;;x
dmu_iberian_grand_winery_nomad_iberian_desc;A sprawling estate of stone halls, vast cellars, and bustling markets, the Grand Winery is renowned from Castile to Cathay. The entire clan flourishes in its shadow.;;;;;x
