#Code;English;French;German;Spanish;Russian;x
drw_reed_landing;Reed Landing;;;;;x
drw_reed_landing_desc;A simple riverside landing of woven reed mats and poles, providing basic access to water for the first arrivals.;;;;;x
drw_boat_mooring;Boat Mooring;;;;;x
drw_boat_mooring_desc;Rafts and dugout canoes are tied off to hastily driven piles, offering the clan better access to fishing and travel.;;;;;x
drw_wooden_dock;Wooden Dock;;;;;x
drw_wooden_dock_desc;A simple wooden dock extends over the river, allowing for easier loading, unloading, and mooring of larger river craft.;;;;;x
drw_fishing_slipway;Fishing Slipway;;;;;x
drw_fishing_slipway_desc;A muddy slipway for drawing boats ashore, lined with drying racks and crude shelters, supporting a burgeoning riverside community.;;;;;x
drw_cargo_pavilion;Cargo Pavilion;;;;;x
drw_cargo_pavilion_desc;A large, tented pavilion offers shelter for goods and travelers, and attracts more merchants along the steppe rivers.;;;;;x
drw_trade_wharf;Trade Wharf;;;;;x
drw_trade_wharf_desc;Timber piers and platforms, bustling with traders, enable larger volumes of trade and resupply for wandering clans.;;;;;x
drw_market_jetty;Market Jetty;;;;;x
drw_market_jetty_desc;A wooden jetty lined with market stalls and tents, drawing in distant merchants and increasing the prosperity of the port.;;;;;x
drw_harbormasters_hut;Harbormasters Hut;;;;;x
drw_harbormasters_hut_desc;A sturdy hut and watch platform for the ports harbormaster, keeping order and ensuring smooth passage of goods and people.;;;;;x
drw_caravan_port;Caravan Port;;;;;x
drw_caravan_port_desc;An extensive riverside encampment with covered pens for beasts of burden, attracting both river and overland caravans from distant lands.;;;;;x
drw_great_steppe_riverport;Great River Nomad Port;;;;;x
drw_great_steppe_riverport_desc;The pinnacle of river nomadism: a sprawling port of piers, warehouses, and bustling markets, uniting distant clans and merchants across the rivers.;;;;;x
