#Code;English;French;German;Spanish;Russian;x
dwu_open_table;Open Table;;;;;x
dwu_open_table_desc;A humble wooden table set in the open, where nomads gather to barter simple goods or news. Marks the first step toward an organized market.;;;;;x
dwu_barter_patch;Barter Patch;;;;;x
dwu_barter_patch_desc;A cleared patch of ground with makeshift stalls and rugs, where traders and herders meet to exchange goods, livestock, and stories.;;;;;x
dwu_traders_tent;Traders Tent;;;;;x
dwu_traders_tent_desc;A large, sturdy tent for merchants, offering limited shelter for goods and negotiation. An essential meeting spot for traveling traders.;;;;;x
dwu_merchants_pavilion;Merchants Pavilion;;;;;x
dwu_merchants_pavilion_desc;A large, colorful pavilion with dedicated spaces for goods, guards, and private deals. The centerpiece of a growing nomadic market.;;;;;x
dwu_market_stand;Market Stand;;;;;x
dwu_market_stand_desc;Wooden stands and awnings form a semi-permanent market, attracting more merchants and allowing for greater scale of trade.;;;;;x
dwu_exchange_room;Exchange Room;;;;;x
dwu_exchange_room_desc;A sturdy wooden hall with private rooms for weighing, counting, and exchanging valuables. Guards and scribes ensure fair trades.;;;;;x
dwu_market_hall;Market Hall;;;;;x
dwu_market_hall_desc;A prominent timber-and-clay hall, bustling with merchants from across the steppe and beyond. A hub of commerce and negotiation.;;;;;x
dwu_guild_pavilion;Guild Pavilion;;;;;x
dwu_guild_pavilion_desc;A vast, canvas-covered complex, where merchant guilds gather, regulate trade, and train apprentices. A sign of wealth and sophistication.;;;;;x
dwu_grand_market_room;Grand Market Room;;;;;x
dwu_grand_market_room_desc;A lavish, multi-chambered market structure of timber and stone, hosting foreign envoys, caravans, and steppe nobility. Commerce flourishes at all hours.;;;;;x
dwu_indian_grand_market;Indian Grand Market;;;;;x
dwu_indian_grand_market_desc;A magnificent domed market, inspired by the riches of the Indian subcontinent. Silk, spices, and gems flow through its halls, attracting merchants from every corner of the world.;;;;;x
