#Code;English;French;German;Spanish;Russian;x
dzt_steam_tent;Steam Tent;;;;;x
dzt_steam_tent_desc;A makeshift felt tent, heated with hot stones and steam, to provide warmth and comfort for nomads on the move.;;;;;x
dzt_hot_stone_hut;Hot Stone Hut;;;;;x
dzt_hot_stone_hut_desc;A sturdier hut lined with clay and stone, where hot rocks are used for steam baths, easing the aches of travel and battle.;;;;;x
dzt_heated_pavilion;Heated Pavilion;;;;;x
dzt_heated_pavilion_desc;A large, mobile pavilion with improved insulation and a communal hearth, providing warmth and a gathering space for the clan.;;;;;x
dzt_stone_bath_chamber;Stone Bath Chamber;;;;;x
dzt_stone_bath_chamber_desc;A semi-permanent bathhouse with stone walls and a domed roof, offering heated baths that strengthen unity and vigor among the steppe folk.;;;;;x
dzt_changing_room;Changing Room;;;;;x
dzt_changing_room_desc;A dedicated chamber for keeping garments dry and secure, increasing the comfort of bathhouse visitors and attracting more of the clan to gather.;;;;;x
dzt_warm_hall;Warm Hall;;;;;x
dzt_warm_hall_desc;A grand communal hall with radiant heated floors and ornate interior, where clan leaders meet and guests are entertained in comfort.;;;;;x
dzt_scented_bath_room;Scented Bath Room;;;;;x
dzt_scented_bath_room_desc;A luxurious bath chamber filled with aromatic herbs and oils, boosting clan morale and attracting foreign dignitaries.;;;;;x
dzt_private_bathhouse;Private Bathhouse;;;;;x
dzt_private_bathhouse_desc;An exclusive bathhouse with secluded pools and personal attendants, reserved for the khan and honored guests, increasing prestige and clan loyalty.;;;;;x
dzt_family_bath_hall;Family Bath Hall;;;;;x
dzt_family_bath_hall_desc;A lavish, multichambered hall for entire clans to gather, fostering unity, health, and prosperity throughout the host.;;;;;x
dzt_arabic_grand_hammam;Arabic Grand Hammam;;;;;x
dzt_arabic_grand_hammam_desc;A monumental, marble-clad hammam inspired by the finest Arabic traditions, a wonder of the steppes offering unmatched luxury, unity, and hospitality to all.;;;;;x
