#Code;English;French;German;Spanish;Russian;x
egg_west_germanic_hunters_trap_set;Trap Set;;;;;x
egg_west_germanic_hunters_trap_set_desc;Simple traps and snares set by the first hunters, enabling a steady trickle of wild game and minor boosts to the population and food supply.;;;;;x
egg_west_germanic_hunters_blind;Hunters Blind;;;;;x
egg_west_germanic_hunters_blind_desc;A makeshift camouflaged shelter for patient hunters, improving hunting yields, food security, and clan sentiment.;;;;;x
egg_west_germanic_hunters_game_rack;Game Rack;;;;;x
egg_west_germanic_hunters_game_rack_desc;A primitive wooden rack for preserving and curing game, providing better food storage and increased population and manpower capacity.;;;;;x
egg_west_germanic_hunters_trackers_tent;Trackers Tent;;;;;x
egg_west_germanic_hunters_trackers_tent_desc;A tent for skilled trackers and guides; increases horde mobility and population, and improves clan sentiment through shared bounty.;;;;;x
egg_west_germanic_hunters_hunting_pavilion;Hunting Pavilion;;;;;x
egg_west_germanic_hunters_hunting_pavilion_desc;A large, sturdy pavilion for communal hunts, feasts, and gatherings, greatly enhancing population, manpower, supply, and unity. Requires Construction tech.;;;;;x
egg_west_germanic_hunters_fletchers_cabin;Fletchers Cabin;;;;;x
egg_west_germanic_hunters_fletchers_cabin_desc;A skilled fletcher crafts arrows for the horde, improving archery and military capability of the clan. Requires Fortifications tech.;;;;;x
egg_west_germanic_hunters_bowyers_workshop;Bowyers Workshop;;;;;x
egg_west_germanic_hunters_bowyers_workshop_desc;A dedicated workshop for crafting advanced bows, further increasing military strength and boosting manpower and supplies. Requires City Construction tech.;;;;;x
egg_west_germanic_hunters_master_hunters_lodge;Master Hunters Lodge;;;;;x
egg_west_germanic_hunters_master_hunters_lodge_desc;A grand lodge for the most skilled hunters, providing elite training, increased supply, and morale for the entire horde. Requires Construction III.;;;;;x
egg_west_germanic_hunters_gamekeepers_hall;Gamekeepers Hall;;;;;x
egg_west_germanic_hunters_gamekeepers_hall_desc;A fortified hall for master gamekeepers, ensuring the prosperity of the clans herds and game, and granting strong boosts to manpower, supply, and clan unity. Requires Fortifications IV.;;;;;x
egg_west_germanic_hunters_grand_hunters_pavilion;Grand Hunters Pavilion;;;;;x
egg_west_germanic_hunters_grand_hunters_pavilion_desc;A prestigious and awe-inspiring pavilion where great hunts and gatherings are held, uniting the clan and attracting the best hunters from afar. The ultimate symbol of nomadic hunting mastery. Requires City Construction V.;;;;;x
