#Code;English;French;German;Spanish;Russian;x
ent_ngmh_ale_bench;Ale Bench;;;;;x
ent_ngmh_ale_bench_desc;A simple, rough-hewn bench placed around a fire, where warriors gather to share ale and tales after a days ride.;;;;;x
ent_ngmh_wooden_gathering_hut;Wooden Gathering Hut;;;;;x
ent_ngmh_wooden_gathering_hut_desc;A modest timber hut, hastily built for clan councils, drinking, and shelter from the harsh northern winds.;;;;;x
ent_ngmh_feast_room;Feast Room;;;;;x
ent_ngmh_feast_room_desc;A spacious room of timber and packed earth, where the clan holds their feasts, strengthening bonds and morale.;;;;;x
ent_ngmh_storytellers_alcove;Storytellers Alcove;;;;;x
ent_ngmh_storytellers_alcove_desc;A cozy alcove lined with furs and benches, reserved for skalds and wise elders to recount the sagas and histories of the clan.;;;;;x
ent_ngmh_timbered_mead_hall;Timbered Mead Hall;;;;;x
ent_ngmh_timbered_mead_hall_desc;A robust longhouse of seasoned timber, boasting high beams and great hearths, where the clan gathers in strength and unity.;;;;;x
ent_ngmh_skalds_platform;Skalds Platform;;;;;x
ent_ngmh_skalds_platform_desc;A raised stage within the hall, adorned with carved runes, where the greatest skalds inspire the clan with words and song.;;;;;x
ent_ngmh_bannered_hall;Bannered Hall;;;;;x
ent_ngmh_bannered_hall_desc;A mighty hall adorned with the banners of the clans victories, a rallying point that inspires unity and martial pride among all gathered.;;;;;x
ent_ngmh_great_drinking_room;Great Drinking Room;;;;;x
ent_ngmh_great_drinking_room_desc;An expansive chamber ringed with carved tables, endless barrels of mead, and space for the entire clan to feast, plot, and strengthen their blood-bonds.;;;;;x
ent_ngmh_chieftains_longhouse;Chieftains Longhouse;;;;;x
ent_ngmh_chieftains_longhouse_desc;The seat of the chieftain, this monumental longhouse is a testament to the clans might, with carved pillars and a high seat for the ruler.;;;;;x
ent_ngmh_royal_mead_hall;Royal Mead Hall;;;;;x
ent_ngmh_royal_mead_hall_desc;A legendary hall whose fame echoes across the north. Here, the king holds court, hosts legendary feasts, and unites the clans under a single banner.;;;;;x
