#Code;English;French;German;Spanish;Russian;x
fcm_arabic_oasis_palm_patch;Palm Patch;;;;;x
fcm_arabic_oasis_palm_patch_desc;A small patch of hand-planted date palms, offering shade and the promise of fruit for the future. The first step in settling the harsh desert.;;;;;x
fcm_arabic_oasis_irrigation_ditch;Irrigation Ditch;;;;;x
fcm_arabic_oasis_irrigation_ditch_desc;A basic trench dug to channel precious water to the palms and tents, increasing the fertility of this oasis outpost.;;;;;x
fcm_arabic_oasis_shaded_tent;Shaded Tent;;;;;x
fcm_arabic_oasis_shaded_tent_desc;A well-situated, palm-shaded communal tent provides comfort and unity to the clans elders and families.;;;;;x
fcm_arabic_oasis_water_channel;Water Channel;;;;;x
fcm_arabic_oasis_water_channel_desc;Stone-lined open channels bring water further into the oasis, transforming the encampment into a verdant hub.;;;;;x
fcm_arabic_oasis_fruit_grove;Fruit Grove;;;;;x
fcm_arabic_oasis_fruit_grove_desc;Lush groves of date palms, figs, and pomegranates offer abundant harvests and attract more people to the oasis.;;;;;x
fcm_arabic_oasis_scented_pavilion;Scented Pavilion;;;;;x
fcm_arabic_oasis_scented_pavilion_desc;A grand tented pavilion, perfumed with flowers and fruit, becomes the heart of the oasis, fostering unity and pride.;;;;;x
fcm_arabic_oasis_date_palm_hall;Date Palm Hall;;;;;x
fcm_arabic_oasis_date_palm_hall_desc;A timbered hall raised among the palm groves, serving as a gathering place for feasts, councils, and mediation.;;;;;x
fcm_arabic_oasis_waterwheel_stand;Waterwheel Stand;;;;;x
fcm_arabic_oasis_waterwheel_stand_desc;Waterwheels now raise water from the depths, enabling larger settlements and more reliable harvests year-round.;;;;;x
fcm_arabic_oasis_fountain_oasis;Fountain Oasis;;;;;x
fcm_arabic_oasis_fountain_oasis_desc;A true marvel, fountains and pools shimmer beneath the palms, attracting distant traders and increasing the oasiss fame.;;;;;x
fcm_arabic_oasis_paradise_garden;Arabic Paradise Garden;;;;;x
fcm_arabic_oasis_paradise_garden_desc;A legendary oasis garden of intricate pools, rare blossoms, and cool shade—a symbol of prosperity and unity for all who dwell here.;;;;;x
