#Code;English;French;German;Spanish;Russian;x
fdq_gatherers_shelter_1;Gatherers' Shelter;;;;;x
fdq_gatherers_shelter_1_desc;A small, portable shelter where clan members gather to forage for food, providing basic sustenance and a minor boost to population growth.;;;;;x
fdq_gatherers_shelter_2;Gatherers' Shelter II;;;;;x
fdq_gatherers_shelter_2_desc;An improved shelter with better storage and organization, supporting a larger clan and increased food security.;;;;;x
fdq_gatherers_shelter_3;Gatherers' Shelter III;;;;;x
fdq_gatherers_shelter_3_desc;A semi-permanent encampment with communal storage, enhancing supply and population growth.;;;;;x
fdq_gatherers_shelter_4;Gatherers' Shelter IV;;;;;x
fdq_gatherers_shelter_4_desc;A well-constructed shelter with efficient storage systems, significantly boosting supply and the clans ability to sustain migrations.;;;;;x
fdq_gatherers_shelter_5;Gatherers' Shelter V;;;;;x
fdq_gatherers_shelter_5_desc;A fortified shelter with advanced preservation techniques, supporting a thriving and growing clan.;;;;;x
fdq_gatherers_shelter_6;Gatherers' Shelter VI;;;;;x
fdq_gatherers_shelter_6_desc;A large, permanent structure with ample storage and organization, greatly increasing food security and population.;;;;;x
fdq_gatherers_shelter_7;Gatherers' Shelter VII;;;;;x
fdq_gatherers_shelter_7_desc;A renowned gathering place for expert foragers, providing substantial boosts to supply, health, and unity.;;;;;x
fdq_gatherers_shelter_8;Gatherers' Shelter VIII;;;;;x
fdq_gatherers_shelter_8_desc;A legendary shelter famed for its abundance, supporting the largest clans and ensuring prosperity.;;;;;x
fdq_gatherers_shelter_9;Gatherers' Shelter IX;;;;;x
fdq_gatherers_shelter_9_desc;A monumental shelter with vast stores and expert organization, enabling the clan to thrive even in harsh times.;;;;;x
fdq_gatherers_shelter_10;Gatherers' Shelter X;;;;;x
fdq_gatherers_shelter_10_desc;The ultimate gathering hall, a symbol of prosperity and unity, supporting unmatched population and supply for the clan.;;;;;x
