#Code;English;French;German;Spanish;Russian;x
gbi_byz_hippodrome_racing_patch;Racing Patch;;;;;x
gbi_byz_hippodrome_racing_patch_desc;A makeshift oval of trampled earth and temporary stakes, marking the earliest attempts at organized racing in the steppe.;;;;;x
gbi_byz_hippodrome_wooden_track;Wooden Track;;;;;x
gbi_byz_hippodrome_wooden_track_desc;Simple wooden planks and barriers laid along the course, improving safety and organization for both horses and spectators.;;;;;x
gbi_byz_hippodrome_spectator_stand;Spectator Stand;;;;;x
gbi_byz_hippodrome_spectator_stand_desc;Rough wooden bleachers offer a better view for the tribe, fostering communal excitement and clan unity.;;;;;x
gbi_byz_hippodrome_chariot_yard;Chariot Yard;;;;;x
gbi_byz_hippodrome_chariot_yard_desc;A small yard for the storage and maintenance of chariots and horses, professionalizing the racing tradition.;;;;;x
gbi_byz_hippodrome_stone_track;Stone Track;;;;;x
gbi_byz_hippodrome_stone_track_desc;The course is now lined with fitted stones, reducing dust and allowing for more spectacular races.;;;;;x
gbi_byz_hippodrome_mosaic_finish_line;Mosaic Finish Line;;;;;x
gbi_byz_hippodrome_mosaic_finish_line_desc;A dazzling mosaic marks the finish, drawing crowds from afar and increasing the renown of the hippodrome.;;;;;x
gbi_byz_hippodrome_circus_pavilion;Circus Pavilion;;;;;x
gbi_byz_hippodrome_circus_pavilion_desc;A grand tented pavilion for nobles and honored guests, increasing the spectacle and prestige of the games.;;;;;x
gbi_byz_hippodrome_imperial_racing_hall;Imperial Racing Hall;;;;;x
gbi_byz_hippodrome_imperial_racing_hall_desc;A magnificent stone hall for festivities and feasts, cementing the hippodrome as the heart of courtly and clan life.;;;;;x
gbi_byz_hippodrome_grandstand;Grandstand;;;;;x
gbi_byz_hippodrome_grandstand_desc;Tiered stone seating circles the arena, allowing thousands to witness the spectacle and filling the steppe with celebration.;;;;;x
gbi_byz_hippodrome_byzantine_hippodrome;Byzantine Hippodrome;;;;;x
gbi_byz_hippodrome_byzantine_hippodrome_desc;A true marvel: marble tiers, imperial loges, and mosaics, the greatest center of steppe sport and unity, drawing rivals and dignitaries from a thousand leagues.;;;;;x
