#Code;English;French;German;Spanish;Russian;x
gev_arabic_prayer_stand;Prayer Stand;;;;;x
gev_arabic_prayer_stand_desc;A simple wooden stand for prayer, marking a communal place for worship on the open steppe.;;;;;x
gev_arabic_carved_post;Carved Post;;;;;x
gev_arabic_carved_post_desc;A decorated post engraved with holy verses, serving as a rallying point for the faithful and a marker of unity.;;;;;x
gev_arabic_stone_minbar;Stone Minbar;;;;;x
gev_arabic_stone_minbar_desc;A simple stone pulpit from which sermons and decrees are delivered, fostering religious discipline.;;;;;x
gev_arabic_small_minaret;Small Minaret;;;;;x
gev_arabic_small_minaret_desc;A humble minaret of timber and earth, from which the call to prayer resounds across the steppe.;;;;;x
gev_arabic_timber_minaret;Timber Minaret;;;;;x
gev_arabic_timber_minaret_desc;A sturdy minaret of fine timber, standing as a symbol of piety and communal identity.;;;;;x
gev_arabic_walled_minaret;Walled Minaret;;;;;x
gev_arabic_walled_minaret_desc;The minaret is now protected by a low stone wall, solidifying its place at the heart of the camp and attracting respected scholars.;;;;;x
gev_arabic_high_minaret;High Minaret;;;;;x
gev_arabic_high_minaret_desc;A tall, impressive minaret visible from great distance, drawing travelers and uniting clans in faith.;;;;;x
gev_arabic_decorated_minaret;Decorated Minaret;;;;;x
gev_arabic_decorated_minaret_desc;A beautifully adorned minaret inlaid with intricate patterns, becoming a center of pilgrimage and learning.;;;;;x
gev_arabic_sanctified_minaret;Sanctified Minaret;;;;;x
gev_arabic_sanctified_minaret_desc;A minaret recognized as a holy site, inspiring the faithful and binding clans in religious unity.;;;;;x
gev_grand_arabic_minaret;Grand Arabic Minaret;;;;;x
gev_grand_arabic_minaret_desc;A towering, legendary minaret of marble and gold, renowned across the steppes and revered by all clans for its sanctity.;;;;;x
