#Code;English;French;German;Spanish;Russian;x
ghp_iranian_spindle_stand;Spindle Stand;;;;;x
ghp_iranian_spindle_stand_desc;A basic, makeshift stand for spinning wool and flax, allowing the first steps of textile production among Iranian nomads.;;;;;x
ghp_iranian_threaders_tent;Threaders Tent;;;;;x
ghp_iranian_threaders_tent_desc;A communal tent where spinners and threaders gather, increasing the speed and scale of textile preparation in the camp.;;;;;x
ghp_iranian_loom_hut;Loom Hut;;;;;x
ghp_iranian_loom_hut_desc;A sturdy hut housing basic looms, enabling expanded weaving and the creation of simple textiles for the horde.;;;;;x
ghp_iranian_dye_pavilion;Dye Pavilion;;;;;x
ghp_iranian_dye_pavilion_desc;A pavilion equipped for dyeing cloth, introducing vibrant colors to nomadic textiles and attracting skilled dyers to the horde.;;;;;x
ghp_iranian_patterned_room;Patterned Room;;;;;x
ghp_iranian_patterned_room_desc;A specialized structure where intricate Iranian weaving patterns are taught and crafted, greatly improving textile quality and production.;;;;;x
ghp_iranian_carpet_hall;Carpet Hall;;;;;x
ghp_iranian_carpet_hall_desc;A grand hall devoted to the weaving of ornate carpets, producing goods prized from the steppes to the Persian heartland and encouraging artisan migration.;;;;;x
ghp_iranian_fine_textile_chamber;Fine Textile Chamber;;;;;x
ghp_iranian_fine_textile_chamber_desc;A secure chamber for crafting and storing rare textiles and silks, providing the horde with prestige goods and trade leverage.;;;;;x
ghp_iranian_guild_pavilion;Guild Pavilion;;;;;x
ghp_iranian_guild_pavilion_desc;An impressive pavilion where master craftsmen lead organized workshops, standardizing textile production and training apprentices.;;;;;x
ghp_iranian_master_weavers_room;Master Weavers Room;;;;;x
ghp_iranian_master_weavers_room_desc;A private chamber reserved for the greatest weavers, whose expertise allows the horde to produce legendary textiles for trade and prestige.;;;;;x
ghp_iranian_textile_guild;Iranian Textile Guild;;;;;x
ghp_iranian_textile_guild_desc;A permanent guild uniting all textile masters and craftsmen, turning the horde into a center of textile innovation, trade, and prosperity.;;;;;x
