#Code;English;French;German;Spanish;Russian;x
gub_iberian_reed_net_stand;Reed Net Stand;;;;;x
gub_iberian_reed_net_stand_desc;Simple stands of reeds, lashed together and set along the shore to hang basic nets for drying and mending. Provides a focal point for the first fishers to gather.;;;;;x
gub_iberian_boat_shelter;Boat Shelter;;;;;x
gub_iberian_boat_shelter_desc;A crude shelter of driftwood and reeds, protecting small fishing boats from the elements and encouraging a more organized settlement.;;;;;x
gub_iberian_fish_drying_rack;Fish Drying Rack;;;;;x
gub_iberian_fish_drying_rack_desc;Rows of wooden racks for drying and preserving fish, allowing for safe storage and trade of the catch.;;;;;x
gub_iberian_canoe_slipway;Canoe Slipway;;;;;x
gub_iberian_canoe_slipway_desc;A shallow ramp and flat area for launching and repairing canoes, speeding up fishing efforts and transportation.;;;;;x
gub_iberian_simple_wharf;Simple Wharf;;;;;x
gub_iberian_simple_wharf_desc;A modest wooden wharf extends into the water, enabling easier unloading of catch and simple trade with passing vessels.;;;;;x
gub_iberian_fishermens_hut;Fishermens Hut;;;;;x
gub_iberian_fishermens_hut_desc;Sturdy huts for the families of fishermen, with communal storage and shared hearths. Fosters a sense of unity and draws new settlers.;;;;;x
gub_iberian_fish_market;Fish Market;;;;;x
gub_iberian_fish_market_desc;A bustling market for fresh and salted fish, attracting traders and increasing prosperity for the settlement.;;;;;x
gub_iberian_salt_house;Salt House;;;;;x
gub_iberian_salt_house_desc;A stone warehouse for storing and producing salt, essential for preserving fish and supporting large-scale trade.;;;;;x
gub_iberian_seafood_pavilion;Seafood Pavilion;;;;;x
gub_iberian_seafood_pavilion_desc;A grand pavilion where the finest catches are auctioned and festivals are held, drawing visitors and further strengthening the local economy.;;;;;x
gub_iberian_harbor;Iberian Harbor;;;;;x
gub_iberian_harbor_desc;A fortified harbor with stone quays, cranes, and customs houses, serving as a hub for mercantile and naval power on the coast.;;;;;x
