#Code;English;French;German;Spanish;Russian;x
gyh_stone_marker;Stone Marker;;;;;x
gyh_stone_marker_desc;A simple standing stone marks the sacred ground, designating the area for ritual gatherings and clan meetings.;;;;;x
gyh_wicker_fence;Wicker Fence;;;;;x
gyh_wicker_fence_desc;A circle of woven wickerwork fences encircles the ritual area, providing a sense of enclosure and sanctity.;;;;;x
gyh_shrine_patch;Shrine Patch;;;;;x
gyh_shrine_patch_desc;A patch of earth is cleared and adorned with offerings, animal bones, and totems, serving as a basic shrine for rituals.;;;;;x
gyh_ancestor_pavilion;Ancestor Pavilion;;;;;x
gyh_ancestor_pavilion_desc;A sturdy wooden pavilion stands for veneration of ancestors, decorated with clan relics and sacred symbols.;;;;;x
gyh_spirit_stand;Spirit Stand;;;;;x
gyh_spirit_stand_desc;A raised wooden platform for offerings and shamanic rites, surrounded by carved poles and banners.;;;;;x
gyh_priests_shelter;Priests Shelter;;;;;x
gyh_priests_shelter_desc;A simple but sturdy structure built for the clans priest or shaman, sheltering them and housing ceremonial tools.;;;;;x
gyh_sanctified_ring;Sanctified Ring;;;;;x
gyh_sanctified_ring_desc;An elaborately marked sacred circle, with decorated stones and posts, signifying a space blessed for rituals and clan gatherings.;;;;;x
gyh_diviners_room;Diviners Room;;;;;x
gyh_diviners_room_desc;A private sanctum for the clan diviner, featuring ritual implements and scrolls, where omens are interpreted for the clans future.;;;;;x
gyh_ritual_chamber;Ritual Chamber;;;;;x
gyh_ritual_chamber_desc;A large, semi-permanent roundhouse with a hearth, used for important ceremonies, feasts, and tribal councils.;;;;;x
gyh_pagan_ritual_ring;Pagan Ritual Ring;;;;;x
gyh_pagan_ritual_ring_desc;An awe-inspiring stone ring with engraved altars, sacred fires, and banners, acting as the heart of tribal worship and unity.;;;;;x
