#Code;English;French;German;Spanish;Russian;x
hry_wrestling_patch;Wrestling Patch;;;;;x
hry_wrestling_patch_desc;A rough patch of earth, cleared for basic training and wrestling matches among the tribes youth.;;;;;x
hry_stick_fighting_ring;Stick-Fighting Ring;;;;;x
hry_stick_fighting_ring_desc;A crude ring marked by stones and scattered logs, where warriors hone skill and discipline with wooden weapons.;;;;;x
hry_mounted_games_yard;Mounted Games Yard;;;;;x
hry_mounted_games_yard_desc;A field cleared for contests of horsemanship, racing, and mock combat atop steeds.;;;;;x
hry_duelists_pavilion;Duelists Pavilion;;;;;x
hry_duelists_pavilion_desc;A large tented structure for organized duels and advanced martial training, surrounded by onlookers and officials.;;;;;x
hry_combat_circle;Combat Circle;;;;;x
hry_combat_circle_desc;A permanent circle of trampled earth, ringed by wooden rails, used for large-scale martial displays and group tactics training.;;;;;x
hry_instructors_platform;Instructors Platform;;;;;x
hry_instructors_platform_desc;A raised wooden dais, surrounded by multiple training pits, where veteran instructors teach discipline and advanced tactics.;;;;;x
hry_apprentice_arena;Apprentice Arena;;;;;x
hry_apprentice_arena_desc;A full arena of sturdy timber, with stands for spectators and multiple rings for training younger warriors and future commanders.;;;;;x
hry_champions_ground;Champions Ground;;;;;x
hry_champions_ground_desc;A grand, fenced expanse with dedicated training quarters, reserved for the greatest champions and elite warriors of the horde.;;;;;x
hry_strategists_hall;Strategists Hall;;;;;x
hry_strategists_hall_desc;A fortified wood-and-clay longhouse, housing war councils and tactical games, where battle plans are drawn and field leaders are trained.;;;;;x
hry_steppe_warrior_academy;Steppe Warrior Academy;;;;;x
hry_steppe_warrior_academy_desc;A sprawling complex of stone, timber, and felt, the heart of martial prowess for the entire clan. Here, warriors, commanders, and tacticians are trained to lead the horde to glory.;;;;;x
