#Code;English;French;German;Spanish;Russian;x
hsl_dravidian_earthen_pit;Earthen Pit;;;;;x
hsl_dravidian_earthen_pit_desc;A simple pit dug into the ground, lined with straw to keep harvested rice dry and safe for a short time. Basic but effective for the first arrivals.;;;;;x
hsl_dravidian_woven_basket;Woven Basket;;;;;x
hsl_dravidian_woven_basket_desc;Lightweight, portable bamboo baskets keep rice dry and allow clans to move with the harvest. Encourages mobility and growth.;;;;;x
hsl_dravidian_mudbrick_silo;Mudbrick Silo;;;;;x
hsl_dravidian_mudbrick_silo_desc;A sturdy silo built from sun-dried mudbricks, protecting rice from monsoons and pests. Marks a settled, semi-permanent phase.;;;;;x
hsl_dravidian_raised_granary;Raised Granary;;;;;x
hsl_dravidian_raised_granary_desc;A weather-resistant, elevated rice granary on wooden stilts, defending grain from floods and vermin while supporting larger clans.;;;;;x
hsl_dravidian_guarded_storehouse;Guarded Storehouse;;;;;x
hsl_dravidian_guarded_storehouse_desc;A fortified storehouse with guards, deterring raiders and ensuring safe rice storage for the entire clan. Requires construction technology.;;;;;x
hsl_dravidian_rodent_proof_hut;Rodent-Proof Hut;;;;;x
hsl_dravidian_rodent_proof_hut_desc;Ingenious huts with sealed floors and hanging baskets, entirely protecting the rice harvest from pests. Requires improved construction.;;;;;x
hsl_dravidian_expanded_store;Expanded Store;;;;;x
hsl_dravidian_expanded_store_desc;A vast, compartmentalized rice store, able to supply large clans and sustain armies on campaign. Shows advanced social organization.;;;;;x
hsl_dravidian_market_pavilion;Market Pavilion;;;;;x
hsl_dravidian_market_pavilion_desc;A bustling pavilion where clans trade rice, goods, and livestock. Serves as a hub for prestige and unity.;;;;;x
hsl_dravidian_grain_exchange_hall;Grain Exchange Hall;;;;;x
hsl_dravidian_grain_exchange_hall_desc;A grand exchange hall where rice is bartered, prices set, and disputes settled. Central to the clans economy and growth.;;;;;x
hsl_dravidian_rice_granary;Dravidian Rice Granary;;;;;x
hsl_dravidian_rice_granary_desc;An immense, stone-reinforced granary, symbol of clan prosperity. Enables unmatched population and military growth, and cements the Dravidian nomads as masters of rice and trade.;;;;;x
