#Code;English;French;German;Spanish;Russian;x
hzg_crag_shelter_1;Crag Shelter;;;;;x
hzg_crag_shelter_1_desc;A basic windbreak of hides and rough stone, built into a mountainside for swift protection against the elements.;;;;;x
hzg_rockwall_pen_2;Rockwall Pen;;;;;x
hzg_rockwall_pen_2_desc;A crude, stone-walled pen for keeping livestock safe from mountain predators, allowing a larger and healthier nomad community.;;;;;x
hzg_cairn_lookout_3;Cairn Lookout;;;;;x
hzg_cairn_lookout_3_desc;A pile of stones marks a simple lookout, with a small shelter to watch for raiders or wild beasts, increasing camp security and population.;;;;;x
hzg_goat_herding_ledge_4;Goat Herding Ledge;;;;;x
hzg_goat_herding_ledge_4_desc;Timber and stone enclosures along the slopes allow goats and sheep to be tended more efficiently, greatly boosting population and supply.;;;;;x
hzg_timbered_slope_hut_5;Timbered Slope Hut;;;;;x
hzg_timbered_slope_hut_5_desc;Semi-permanent timbered huts on mountain slopes provide warmth and security, with reinforced pens for animals and people alike.;;;;;x
hzg_mountain_watchstand_6;Mountain Watchstand;;;;;x
hzg_mountain_watchstand_6_desc;Raised watchstands provide far-reaching views and improved defense coordination, vital for mountain clans.;;;;;x
hzg_guarded_ridge_camp_7;Guarded Ridge Camp;;;;;x
hzg_guarded_ridge_camp_7_desc;A series of defensible camps along the ridge, with wooden palisades and coordinated sentries, making the community formidable in the mountains.;;;;;x
hzg_stone_signal_tower_8;Stone Signal Tower;;;;;x
hzg_stone_signal_tower_8_desc;A stone-built tower with fire beacons and drums, providing unmatched warning and coordination for mountain defenses.;;;;;x
hzg_mountain_defended_hall_9;Mountain Defended Hall;;;;;x
hzg_mountain_defended_hall_9_desc;A fortified timber and stone hall, seat of the mountain clan, with strongholds for warriors and precious stores.;;;;;x
hzg_peak_stronghold_10;Peak Stronghold;;;;;x
hzg_peak_stronghold_10_desc;An imposing stronghold atop the highest peak, complete with stone walls, stores, and command towers—a bastion of nomadic might in the mountains.;;;;;x
