#Code;English;French;German;Spanish;Russian;x
idk_warrior_patch;Warrior Patch;;;;;x
idk_warrior_patch_desc;A roughly cleared patch of earth, marked by banners and crude totems, where young warriors gather to test their mettle and share tales around the fire.;;;;;x
idk_training_circle;Training Circle;;;;;x
idk_training_circle_desc;A well-trodden ring of packed dirt, surrounded by simple wooden posts and woven grass mats, where warriors spar and elders instruct.;;;;;x
idk_weapons_pavilion;Weapons Pavilion;;;;;x
idk_weapons_pavilion_desc;A large hide tent reinforced with timber poles, storing honed blades, bows, and armor, and serving as a gathering place for warriors before battle.;;;;;x
idk_battlefield_tent;Battlefield Tent;;;;;x
idk_battlefield_tent_desc;A grand command tent, lined with battle-scored banners and maps, where warbands gather to plan their next conquest.;;;;;x
idk_command_stand;Command Stand;;;;;x
idk_command_stand_desc;A raised timber platform, adorned with carved standards, used for mustering the horde and issuing commands before great raids.;;;;;x
idk_muster_hall;Muster Hall;;;;;x
idk_muster_hall_desc;A sturdy, timber-walled hall, filled with trophies and banners, where the bravest warriors gather for feasts and mustering before war.;;;;;x
idk_elite_ground;Elite Ground;;;;;x
idk_elite_ground_desc;A fenced, well-drained field reserved for the training and parade of the hordes elite, ringed with banners and guarded day and night.;;;;;x
idk_champions_pavilion;Champions Pavilion;;;;;x
idk_champions_pavilion_desc;A lavish, decorated tent city where the greatest warriors dwell, filled with symbols of glory and places for guests from distant tribes.;;;;;x
idk_chiefs_chamber;Chiefs Chamber;;;;;x
idk_chiefs_chamber_desc;A tall, timber-framed lodge at the camps heart, where the chief rules and hosts councils of war, storing the wealth and banners of the horde.;;;;;x
idk_pagan_warrior_lodge;Pagan Warrior Lodge;;;;;x
idk_pagan_warrior_lodge_desc;An awe-inspiring, heavily fortified wooden hall standing above all others, the sacred heart of the horde where warriors are initiated, rituals are held, and the chieftain proclaims the will of the gods.;;;;;x
