#Code;English;French;German;Spanish;Russian;x
ixk_painted_panel_nook;Painted Panel Nook;;;;;x
ixk_painted_panel_nook_desc;A humble corner tent or lean-to sheltering a traveling icon, fostering devotion among the nomads.;;;;;x
ixk_wooden_icon_stand;Wooden Icon Stand;;;;;x
ixk_wooden_icon_stand_desc;A simple wooden frame allows icons to be displayed at gatherings, reinforcing shared faith and unity.;;;;;x
ixk_gold_leaf_shrine;Gold Leaf Shrine;;;;;x
ixk_gold_leaf_shrine_desc;A mobile tent adorned with gold-leafed icons, drawing pilgrims and reinforcing spiritual authority.;;;;;x
ixk_iconographers_pavilion;Iconographers Pavilion;;;;;x
ixk_iconographers_pavilion_desc;A grand tent dedicated to the creation and veneration of icons, serving as a focal point for holy gatherings.;;;;;x
ixk_sacred_image_room;Sacred Image Room;;;;;x
ixk_sacred_image_room_desc;A semi-permanent wooden structure, richly adorned, where sacred icons are displayed and guarded by priests.;;;;;x
ixk_sanctified_hall;Sanctified Hall;;;;;x
ixk_sanctified_hall_desc;A solid wooden or stone-floored hall, sanctified by patriarchal blessing, hosting major religious rites for the clan.;;;;;x
ixk_altar_of_relics;Altar of Relics;;;;;x
ixk_altar_of_relics_desc;A secure enclosure for venerated relics, drawing pilgrims and cementing the clans pious reputation.;;;;;x
ixk_priests_sanctuary;Priests Sanctuary;;;;;x
ixk_priests_sanctuary_desc;A lavishly appointed sanctuary for the clans priests, supporting elaborate rituals and fostering deeper unity.;;;;;x
ixk_iconostasis;Iconostasis;;;;;x
ixk_iconostasis_desc;A grand partition of icons and relics, forming both a spiritual and social center for the nomad court.;;;;;x
ixk_byzantine_icon_hall;Byzantine Icon Hall;;;;;x
ixk_byzantine_icon_hall_desc;A semi-permanent stone hall patterned on Byzantine basilicas, adorned with priceless icons, relics, and goldwork, inspiring awe and unity across the horde.;;;;;x
