#Code;English;French;German;Spanish;Russian;x
jbo_israelite_prayer_stand;Prayer Stand;;;;;x
jbo_israelite_prayer_stand_desc;A simple, movable stand for communal prayers, marking the beginnings of Israelite worship in the open steppe.;;;;;x
jbo_israelite_stone_marker;Stone Marker;;;;;x
jbo_israelite_stone_marker_desc;A more permanent stone marker, serving as a gathering point for prayers and community events.;;;;;x
jbo_israelite_wooden_pavilion;Wooden Pavilion;;;;;x
jbo_israelite_wooden_pavilion_desc;A simple wooden structure offering shelter for worship, and a focal point for the Israelite community.;;;;;x
jbo_israelite_teaching_room;Teaching Room;;;;;x
jbo_israelite_teaching_room_desc;A modest enclosure for study and instruction, fostering religious unity among nomadic Israelites.;;;;;x
jbo_israelite_torah_chamber;Torah Chamber;;;;;x
jbo_israelite_torah_chamber_desc;A dedicated chamber for Torah scrolls and learned discussion, cementing cultural identity and tradition.;;;;;x
jbo_israelite_sanctuary_hall;Sanctuary Hall;;;;;x
jbo_israelite_sanctuary_hall_desc;A large, well-built hall serving as a sanctuary for worship and community gatherings, strengthening spiritual unity.;;;;;x
jbo_israelite_ritual_pavilion;Ritual Pavilion;;;;;x
jbo_israelite_ritual_pavilion_desc;An ornate pavilion for sacred rituals and major gatherings, reinforcing the Israelite clans religious identity.;;;;;x
jbo_israelite_community_synagogue;Community Synagogue;;;;;x
jbo_israelite_community_synagogue_desc;A sturdy, permanent synagogue that serves as the heart of the Israelite nomad community, anchoring faith and unity.;;;;;x
jbo_israelite_scholars_hall;Scholars Hall;;;;;x
jbo_israelite_scholars_hall_desc;A renowned center for religious study and debate, drawing Israelite scholars from across the steppe.;;;;;x
jbo_israelite_grand_synagogue;Grand Israelite Synagogue;;;;;x
jbo_israelite_grand_synagogue_desc;A majestic, awe-inspiring synagogue, the spiritual heart of the Israelite nomads—uniting clans and strengthening the faith for generations.;;;;;x
