#Code;English;French;German;Spanish;Russian;x
jql_spindle_stand;Spindle Stand;;;;;x
jql_spindle_stand_desc;A humble arrangement of crude wooden stands and baskets where nomads spin raw fibers into thread by hand, marking the beginnings of textile craft among the clan.;;;;;x
jql_weavers_bench;Weavers Bench;;;;;x
jql_weavers_bench_desc;A sturdier, portable bench and awning for the clans best spinners and weavers, improving thread production and light textile work on the move.;;;;;x
jql_loom_hut;Loom Hut;;;;;x
jql_loom_hut_desc;A semi-permanent felt hut with a simple loom, allowing for the weaving of cloth for both clothing and tents, vital for nomadic survival.;;;;;x
jql_threading_pavilion;Threading Pavilion;;;;;x
jql_threading_pavilion_desc;A large, communal tent with multiple looms, benches, and supply racks. Here, skilled workers create thread and simple cloth for the clans growing needs.;;;;;x
jql_dyehouse;Dyehouse;;;;;x
jql_dyehouse_desc;A specialized tent for mixing natural dyes, allowing the creation of colored cloth. The presence of skilled dye-masters enhances trade and clan pride.;;;;;x
jql_patterned_loom_room;Patterned Loom Room;;;;;x
jql_patterned_loom_room_desc;A caravan tent set aside for advanced patterned weaving, producing intricate textiles prized by traders and nobility alike.;;;;;x
jql_fine_weavers_hall;Fine Weavers Hall;;;;;x
jql_fine_weavers_hall_desc;A grand tented hall where master weavers oversee the production of luxury textiles. Attracts skilled artisans and increases the clans prestige.;;;;;x
jql_textile_chamber;Textile Chamber;;;;;x
jql_textile_chamber_desc;A well-appointed chamber within a semi-permanent structure, housing advanced looms and storerooms. Textile output is at its peak, supporting trade and population.;;;;;x
jql_cloth_guildhall;Cloth Guildhall;;;;;x
jql_cloth_guildhall_desc;A permanent wooden and brick hall, the seat of the weavers guild. Oversees all textile production, training, and trade, cementing the clans prosperity.;;;;;x
jql_indian_weaver_guild;Indian Weaver Guild;;;;;x
jql_indian_weaver_guild_desc;A prestigious, multi-generational guild of Indian weavers, famed throughout the steppes. Facilitates unparalleled textile production, trade, and clan unity.;;;;;x
