#Code;English;French;German;Spanish;Russian;x
kad_stick_fence_pen;Stick Fence Pen;;;;;x
kad_stick_fence_pen_desc;A rudimentary cattle holding area made from gathered sticks, quick to construct by newly arrived herders.;;;;;x
kad_wooden_kraal;Wooden Kraal;;;;;x
kad_wooden_kraal_desc;A simple but sturdier cattle kraal built with wooden posts and woven branches, protecting herds from wild animals.;;;;;x
kad_wattle_enclosure;Wattle Enclosure;;;;;x
kad_wattle_enclosure_desc;An improved pen using wattlework and stakes, allowing for more cattle and better protection from predators and thieves.;;;;;x
kad_cattle_shelter;Cattle Shelter;;;;;x
kad_cattle_shelter_desc;A roofed shelter within the kraal, providing shade and protection for valuable breeding cattle.;;;;;x
kad_expanded_kraal;Expanded Kraal;;;;;x
kad_expanded_kraal_desc;A much larger kraal with reinforced wooden fencing and multiple shelters, built to house significant herds and support a growing community.;;;;;x
kad_guarded_yard;Guarded Yard;;;;;x
kad_guarded_yard_desc;A kraal with watchposts, guards, and reinforced entrances to deter raiders and wild beasts, greatly increasing herd safety and clan cohesion.;;;;;x
kad_village_kraal;Village Kraal;;;;;x
kad_village_kraal_desc;A central kraal serving an entire village, with communal guards and large stores for fodder and water, sustaining both livestock and people during hard times.;;;;;x
kad_elders_pen;Elders Pen;;;;;x
kad_elders_pen_desc;A special kraal maintained under the guidance of the clan elders, housing the most prized cattle and serving as a symbol of tradition and unity.;;;;;x
kad_chiefs_kraal;Chiefs Kraal;;;;;x
kad_chiefs_kraal_desc;A grand kraal belonging to the clan chief, heavily guarded and lavishly equipped, reinforcing authority and offering sanctuary to the chiefs people and herds.;;;;;x
kad_east_african_grand_kraal;East African Grand Kraal;;;;;x
kad_east_african_grand_kraal_desc;The legendary Grand Kraal, a sprawling and fortified complex that anchors the clans identity, prosperity, and unity, hosting festivals and gatherings for all.;;;;;x
