#Code;English;French;German;Spanish;Russian;x
kbz_east_slavic_spindle_stand;Spindle Stand;;;;;x
kbz_east_slavic_spindle_stand_desc;A humble structure of woven branches and hides, providing the nomads a place for basic thread spinning. Boosts early textile efforts and supports population growth among the clan.;;;;;x
kbz_east_slavic_weavers_bench;Weavers Bench;;;;;x
kbz_east_slavic_weavers_bench_desc;A slightly more advanced, yet portable, bench for skilled weavers. Allows more efficient thread production, benefiting the hordes manpower and unity.;;;;;x
kbz_east_slavic_loom_hut;Loom Hut;;;;;x
kbz_east_slavic_loom_hut_desc;A sturdy seasonal hut, roofed with birch bark, housing a large communal loom. Enables the clan to produce cloth for trade and clothing, growing population and manpower.;;;;;x
kbz_east_slavic_threading_pavilion;Threading Pavilion;;;;;x
kbz_east_slavic_threading_pavilion_desc;A spacious, semi-permanent yurt for advanced weaving and dyeing, enabling greater textile production and trade. Attracts new families and skilled workers to the horde.;;;;;x
kbz_east_slavic_dyehouse;Dyehouse;;;;;x
kbz_east_slavic_dyehouse_desc;A permanent log structure with stone vats for dyeing cloth in bulk, producing vibrant textiles and expanding the clans trading influence.;;;;;x
kbz_east_slavic_patterned_loom_room;Patterned Loom Room;;;;;x
kbz_east_slavic_patterned_loom_room_desc;A specialized timber hall for master weavers to create intricate patterned cloth. Encourages population growth, economic prosperity, and cultural prestige.;;;;;x
kbz_east_slavic_fine_weavers_hall;Fine Weavers Hall;;;;;x
kbz_east_slavic_fine_weavers_hall_desc;A large, decorated hall for the most skilled weavers, who produce luxury textiles for the ruling elite. Highly increases horde capacity and tax income.;;;;;x
kbz_east_slavic_textile_chamber;Textile Chamber;;;;;x
kbz_east_slavic_textile_chamber_desc;A fortified chamber, well-protected and climate-controlled, where master artisans develop innovations in weaving and dyeing, greatly benefitting the clans growth and wealth.;;;;;x
kbz_east_slavic_cloth_guildhall;Cloth Guildhall;;;;;x
kbz_east_slavic_cloth_guildhall_desc;An imposing timber structure serving as the center for all weaving activity and guild organization, hosting trade negotiations and supporting the rapid expansion of the horde.;;;;;x
kbz_east_slavic_grand_weaver_guild;Slavic Grand Weaver Guild;;;;;x
kbz_east_slavic_grand_weaver_guild_desc;The legendary heart of East Slavic textile mastery: a sprawling guild complex that draws traders, artisans, and the curious from across the steppe, cementing the clans dominance in economy and culture.;;;;;x
