#Code;English;French;German;Spanish;Russian;x
kfg_clay_basin;Clay Basin;;;;;x
kfg_clay_basin_desc;A simple clay basin allows for basic washing and ritual purification in the field.;;;;;x
kfg_washing_stand;Washing Stand;;;;;x
kfg_washing_stand_desc;A wooden washing stand enables more people to perform ablutions, increasing camp unity.;;;;;x
kfg_stone_fountain;Stone Fountain;;;;;x
kfg_stone_fountain_desc;A carved stone fountain offers clean water for ritual use to the entire clan.;;;;;x
kfg_water_pavilion;Water Pavilion;;;;;x
kfg_water_pavilion_desc;A tented pavilion with flowing water, allowing many to purify themselves and fostering unity.;;;;;x
kfg_clean_room;Clean Room;;;;;x
kfg_clean_room_desc;A dedicated clean room for ritual ablutions, demonstrating the clans devotion and discipline.;;;;;x
kfg_sanctified_hall;Sanctified Hall;;;;;x
kfg_sanctified_hall_desc;A large sanctified hall for clanwide ablutions and gatherings, inspiring religious unity.;;;;;x
kfg_ablution_chamber;Ablution Chamber;;;;;x
kfg_ablution_chamber_desc;A finely built chamber with marble basins, reserved for leaders and elders, raising esteem and piety.;;;;;x
kfg_fountain_pavilion;Fountain Pavilion;;;;;x
kfg_fountain_pavilion_desc;An ornate pavilion with a central fountain, drawing all to purification and devotion.;;;;;x
kfg_blessed_room;Blessed Room;;;;;x
kfg_blessed_room_desc;A sacred and blessed room, attended by religious guides, heightening the clans spiritual unity.;;;;;x
kfg_muslim_ablution_fountain;Muslim Ablution Fountain;;;;;x
kfg_muslim_ablution_fountain_desc;A grand ablution fountain, centerpiece of nomad faith, drawing pilgrims and strengthening unity.;;;;;x
