#Code;English;French;German;Spanish;Russian;x
kge_nomad_pasture_patch;Pasture Patch;;;;;x
kge_nomad_pasture_patch_desc;A small, makeshift grazing area for the first few herds, demarcated with rope and rough earthworks. Provides the foundation for expanding horse husbandry.;;;;;x
kge_nomad_tethered_herd;Tethered Herd;;;;;x
kge_nomad_tethered_herd_desc;A larger, loosely organized group of horses, tethered with posts and basic fencing, watched by young herders. Expands the tribes ability to maintain and grow horse populations.;;;;;x
kge_nomad_corral;Nomad Corral;;;;;x
kge_nomad_corral_desc;A sturdy, mobile corral of wooden stakes and woven branches, allowing for the safe holding and breeding of larger horse herds during seasonal migrations.;;;;;x
kge_enclosed_grazing_field;Enclosed Grazing Field;;;;;x
kge_enclosed_grazing_field_desc;A well-fenced grazing enclosure, sometimes with watchtowers and guarded approaches, keeping the herds secure and allowing selective breeding and improved supply logistics.;;;;;x
kge_horse_training_yard;Horse Training Yard;;;;;x
kge_horse_training_yard_desc;A specialized yard with circular tracks, trainers, and makeshift stables for the breaking and preparation of warhorses. Improves both horde effectiveness and mobility.;;;;;x
kge_breeders_pen;Breeders Pen;;;;;x
kge_breeders_pen_desc;Dedicated, guarded enclosures for the best breeding stock, enabling the selection of superior horses and increased herd growth for the horde.;;;;;x
kge_stallion_enclosure;Stallion Enclosure;;;;;x
kge_stallion_enclosure_desc;Robust pens for prized stallions, guarded and cared for by skilled handlers, ensuring a steady supply of elite warhorses and increasing the hordes prestige.;;;;;x
kge_mare_sanctuary;Mare Sanctuary;;;;;x
kge_mare_sanctuary_desc;A protected grazing haven for the most fertile mares, overseen by the clans elders. Vast and well-stocked, it greatly expands herd growth and unity.;;;;;x
kge_champion_stables;Champion Stables;;;;;x
kge_champion_stables_desc;Grand stables for the hordes legendary horses, with skilled trainers and ceremonial paddocks. An unmatched symbol of prestige and martial readiness.;;;;;x
kge_steppe_equestrian_domain;River Nomad Equestrian Domain;;;;;x
kge_steppe_equestrian_domain_desc;An immense, legendary domain encompassing open pastures, training arenas, and sacred breeding grounds—renowned across the river nomad lands for unrivaled horse mastery.;;;;;x
