#Code;English;French;German;Spanish;Russian;x
khc_lowland_patch;Lowland Patch;;;;;x
khc_lowland_patch_desc;A cluster of grass-rich lowland earth, roughly cleared for grazing. The first step toward establishing a foothold for your herds on the open steppe.;;;;;x
khc_open_steppe_range;Open Steppe Range;;;;;x
khc_open_steppe_range_desc;Wide tracts of steppe are allocated and loosely managed for herd movement, granting greater freedom and more sustainable grazing.;;;;;x
khc_movable_pen;Movable Pen;;;;;x
khc_movable_pen_desc;Portable wooden livestock pens, easily assembled and disassembled, allowing for efficient seasonal movement and grazing rotation.;;;;;x
khc_windshelter_hut;Windshelter Hut;;;;;x
khc_windshelter_hut_desc;Simple, low-walled huts and windbreaks constructed from sod and brush, protecting animals and people from the fierce steppe winds.;;;;;x
khc_steppe_corral;Steppe Corral;;;;;x
khc_steppe_corral_desc;A permanent corral of sturdy timber and stone, allowing for much larger herds and better animal management.;;;;;x
khc_nomad_grazing_yard;Nomad Grazing Yard;;;;;x
khc_nomad_grazing_yard_desc;Expansive grazing yards with controlled rotation, improving herd health and allowing increased population and supply.;;;;;x
khc_windbreak_pavilion;Windbreak Pavilion;;;;;x
khc_windbreak_pavilion_desc;Large tented pavilions and woven reed shelters, easily erected and moved as needed, maximize the safety and warmth of livestock and people.;;;;;x
khc_wide_pasture;Wide Pasture;;;;;x
khc_wide_pasture_desc;Vast stretches of the best grassland reserved for the largest herds, with dedicated watchmen and patrols to guard against threats.;;;;;x
khc_steppe_herd_hall;Steppe Herd Hall;;;;;x
khc_steppe_herd_hall_desc;A grand gathering hall for clan leaders and herders, serving as both a symbol of unity and a center for coordinating herd management and defense.;;;;;x
khc_great_steppe_pastures;Great Steppe Pastures;;;;;x
khc_great_steppe_pastures_desc;An immense, expertly managed expanse of grazing land, the pride of the steppe—able to sustain legendary herds and the mightiest of nomadic hosts.;;;;;x
