#Code;English;French;German;Spanish;Russian;x
kri_magyar_ancestor_spirit_post;Spirit Post;;;;;x
kri_magyar_ancestor_spirit_post_desc;A simple wooden post adorned with small tokens and offerings, marking the first attempt to honor the Magyar ancestors on the steppe frontier.;;;;;x
kri_magyar_ancestor_prayer_stand;Prayer Stand;;;;;x
kri_magyar_ancestor_prayer_stand_desc;A crude prayer stand of stones and carved wood, where the clan gathers to make offerings and recite ancestral prayers.;;;;;x
kri_magyar_ancestor_hut;Ancestor Hut;;;;;x
kri_magyar_ancestor_hut_desc;A sturdy felt-and-wood hut, housing sacred relics of the ancestors and serving as a place for private devotion and memory.;;;;;x
kri_magyar_ancestor_worship_pavilion;Worship Pavilion;;;;;x
kri_magyar_ancestor_worship_pavilion_desc;A large, decorated tent-pavilion where the clan gathers for major ancestor rites and unifying ceremonies.;;;;;x
kri_magyar_ancestor_sanctified_room;Sanctified Room;;;;;x
kri_magyar_ancestor_sanctified_room_desc;A dedicated room, constructed within a large yurt or wooden structure, sanctified for ritual ancestor worship and clan councils.;;;;;x
kri_magyar_ancestor_priests_hall;Priests Hall;;;;;x
kri_magyar_ancestor_priests_hall_desc;A solid wooden hall where priestly keepers of the ancestors reside, preserving tradition and offering guidance to the clan.;;;;;x
kri_magyar_ancestor_blessed_glade;Blessed Glade;;;;;x
kri_magyar_ancestor_blessed_glade_desc;A sacred grove where trees are adorned with ribbons and offerings, believed to be watched over by the clans founding spirits.;;;;;x
kri_magyar_ancestor_diviners_chamber;Diviners Chamber;;;;;x
kri_magyar_ancestor_diviners_chamber_desc;A chamber set aside for the clans diviners to commune with the ancestors, interpret omens, and lead the people in spiritual unity.;;;;;x
kri_magyar_ancestor_shrine_hall;Shrine Hall;;;;;x
kri_magyar_ancestor_shrine_hall_desc;A grand hall of wood and stone, richly adorned with ancestral symbols, serving as the spiritual heart of the Magyar clan.;;;;;x
kri_magyar_ancestor_sanctuary;Magyar Sanctuary;;;;;x
kri_magyar_ancestor_sanctuary_desc;The most sacred structure of the Magyar people, a fortified sanctuary where the ancestors’ spirits are honored with great ceremony, uniting the clan and inspiring all.;;;;;x
