#Code;English;French;German;Spanish;Russian;x
kzi_dravidian_market_open_table;Open Table;;;;;x
kzi_dravidian_market_open_table_desc;A simple open table set upon the steppe, where early merchants gather to barter and exchange, marking the humble beginning of trade.;;;;;x
kzi_dravidian_market_barter_patch;Barter Patch;;;;;x
kzi_dravidian_market_barter_patch_desc;A small, cleared patch ringed with mats and awnings, where clansfolk and traders meet for lively barter and exchange of basic goods.;;;;;x
kzi_dravidian_market_traders_tent;Traders Tent;;;;;x
kzi_dravidian_market_traders_tent_desc;A sturdy hide tent where traveling merchants display a growing variety of wares, attracting outsiders and increasing trade activity.;;;;;x
kzi_dravidian_market_merchants_pavilion;Merchants Pavilion;;;;;x
kzi_dravidian_market_merchants_pavilion_desc;A sprawling canvas pavilion, bustling with traders and buyers. It hosts regular market days, drawing goods from afar and fostering prosperity.;;;;;x
kzi_dravidian_market_market_stand;Market Stand;;;;;x
kzi_dravidian_market_market_stand_desc;Permanent wooden stalls replace makeshift tables, offering shelter for goods and a regular hub of commerce.;;;;;x
kzi_dravidian_market_exchange_room;Exchange Room;;;;;x
kzi_dravidian_market_exchange_room_desc;A large, guarded enclosure for secure trade, currency exchange, and negotiation, attended by scribes and elders.;;;;;x
kzi_dravidian_market_market_hall;Market Hall;;;;;x
kzi_dravidian_market_market_hall_desc;A robust timber hall housing stalls, records, and meeting space for clan leaders and foreign delegations, centralizing trade and administration.;;;;;x
kzi_dravidian_market_guild_pavilion;Guild Pavilion;;;;;x
kzi_dravidian_market_guild_pavilion_desc;A grand, semi-permanent tent complex, home to powerful merchant guilds, specialty artisans, and influential traders, regulating all market activity.;;;;;x
kzi_dravidian_market_grand_market_room;Grand Market Room;;;;;x
kzi_dravidian_market_grand_market_room_desc;A fortified, prestigious chamber where major deals are struck, tribute is tallied, and visiting dignitaries are received with ceremony.;;;;;x
kzi_dravidian_market_dravidian_grand_market;Dravidian Grand Market;;;;;x
kzi_dravidian_market_dravidian_grand_market_desc;The legendary Dravidian Grand Market: a vast, tented city of trade, teeming with merchants from distant realms and watched over by the proudest clans. All commerce in the steppe flows here.;;;;;x
