#Code;English;French;German;Spanish;Russian;x
lib_woodcarvers_bench;Woodcarvers Bench;;;;;x
lib_woodcarvers_bench_desc;A simple bench for shaping wood, supporting nomad crafts and camp repairs.;;;;;x
lib_potters_shed;Potters Shed;;;;;x
lib_potters_shed_desc;A makeshift shelter for clay work, producing essential wares for the clans daily needs.;;;;;x
lib_tanners_tent;Tanners Tent;;;;;x
lib_tanners_tent_desc;A canvas tent where hides are cured, improving supplies and increasing clan resilience.;;;;;x
lib_metalworkers_hut;Metalworkers Hut;;;;;x
lib_metalworkers_hut_desc;A sturdy hut for forging tools and weapons, bolstering military readiness for the horde.;;;;;x
lib_weavers_pavilion;Weavers Pavilion;;;;;x
lib_weavers_pavilion_desc;A spacious tent where skilled hands craft textiles, enhancing comfort and population growth.;;;;;x
lib_fine_smithy;Fine Smithy;;;;;x
lib_fine_smithy_desc;A well-equipped smithy producing superior tools and arms, empowering both artisans and warriors.;;;;;x
lib_guild_workshop;Guild Workshop;;;;;x
lib_guild_workshop_desc;A large communal workspace for skilled artisans, fostering innovation and economic growth.;;;;;x
lib_master_craftsmans_hall;Master Craftsmans Hall;;;;;x
lib_master_craftsmans_hall_desc;A grand hall where the most talented artisans gather, setting standards for craftsmanship and unity.;;;;;x
lib_guildhall;Guildhall;;;;;x
lib_guildhall_desc;A fortified center for artisan guilds, organizing production and boosting the hordes prosperity.;;;;;x
lib_great_artisan_guild;Great Artisan Guild;;;;;x
lib_great_artisan_guild_desc;The pinnacle of nomadic craftsmanship, this legendary guild draws artisans from afar, greatly empowering the clans might, unity, and prosperity.;;;;;x
