#Code;English;French;German;Spanish;Russian;x
ljr_festival_grounds_1;Festival Grounds I;;;;;x
ljr_festival_grounds_1_desc;A simple open area for clan gatherings and small celebrations.;;;;;x
ljr_festival_grounds_2;Festival Grounds II;;;;;x
ljr_festival_grounds_2_desc;An improved space with basic amenities for larger festivities.;;;;;x
ljr_festival_grounds_3;Festival Grounds III;;;;;x
ljr_festival_grounds_3_desc;Expanded grounds with decorated tents and more space for revelers.;;;;;x
ljr_festival_grounds_4;Festival Grounds IV;;;;;x
ljr_festival_grounds_4_desc;A well-established festival area with permanent fire pits and seating.;;;;;x
ljr_festival_grounds_5;Festival Grounds V;;;;;x
ljr_festival_grounds_5_desc;A renowned site for major clan events, featuring banners and music.;;;;;x
ljr_festival_grounds_6;Festival Grounds VI;;;;;x
ljr_festival_grounds_6_desc;The grounds now host traveling performers and attract distant guests.;;;;;x
ljr_festival_grounds_7;Festival Grounds VII;;;;;x
ljr_festival_grounds_7_desc;A vibrant center of nomadic culture, bustling with activity.;;;;;x
ljr_festival_grounds_8;Festival Grounds VIII;;;;;x
ljr_festival_grounds_8_desc;A grand venue for seasonal festivals and important ceremonies.;;;;;x
ljr_festival_grounds_9;Festival Grounds IX;;;;;x
ljr_festival_grounds_9_desc;A legendary gathering place, famed across the steppes.;;;;;x
ljr_festival_grounds_10;Festival Grounds X;;;;;x
ljr_festival_grounds_10_desc;The ultimate festival grounds, the pride of the entire clan.;;;;;x
