#Code;English;French;German;Spanish;Russian;x
lkd_herbalists_lean_to;Herbalists Lean-to;;;;;x
lkd_herbalists_lean_to_desc;A simple shelter of branches and hides, where basic herbs are gathered and applied for the most urgent wounds and sicknesses.;;;;;x
lkd_simple_healers_tent;Simple Healers Tent;;;;;x
lkd_simple_healers_tent_desc;A humble tent where an apprentice healer tends wounds, using poultices and simple remedies to aid recovery.;;;;;x
lkd_medicine_pouch_stand;Medicine Pouch Stand;;;;;x
lkd_medicine_pouch_stand_desc;A semi-permanent stand where healers keep dried roots, poultices, and medicinal pouches at the ready for the tribe.;;;;;x
lkd_wound_care_pavilion;Wound Care Pavilion;;;;;x
lkd_wound_care_pavilion_desc;A large felt pavilion where skilled healers tend to the wounded, offering organized care and herbal treatments.;;;;;x
lkd_shamans_shelter;Shamans Shelter;;;;;x
lkd_shamans_shelter_desc;A respected shamans tent, filled with charms and rare herbs, where both body and spirit are tended.;;;;;x
lkd_remedy_storage_hut;Remedy Storage Hut;;;;;x
lkd_remedy_storage_hut_desc;A sturdy hut for storing herbs, ointments, and rare medicinal supplies, protected from weather and pests.;;;;;x
lkd_healers_workshop;Healers Workshop;;;;;x
lkd_healers_workshop_desc;A specialized yurt where skilled practitioners prepare advanced medicines, salves, and even surgical tools.;;;;;x
lkd_recovery_yurt;Recovery Yurt;;;;;x
lkd_recovery_yurt_desc;A grand yurt devoted to the convalescence of the tribes sick and wounded, well-equipped and staffed by seasoned healers.;;;;;x
lkd_healing_compound;Healing Compound;;;;;x
lkd_healing_compound_desc;A cluster of yurts and workshops forming a full healing compound, with storage, preparation, and recovery areas for large numbers of wounded or sick.;;;;;x
lkd_steppe_infirmary;River Nomad Infirmary;;;;;x
lkd_steppe_infirmary_desc;A renowned mobile hospital, famed across the river nomad lands, staffed by expert healers, shamans, and surgeons. The tribes sick and wounded recover here with unparalleled speed and care.;;;;;x
