#Code;English;French;German;Spanish;Russian;x
lxb_jungle_palm_frond_hut;Palm Frond Hut;;;;;x
lxb_jungle_palm_frond_hut_desc;Simple shelters woven from palm fronds, offering basic cover and a first step toward taming the jungle.;;;;;x
lxb_jungle_cleared_patch;Cleared Patch;;;;;x
lxb_jungle_cleared_patch_desc;A patch of jungle cleared for communal gathering, basic work, and initial livestock. Slightly improves clan organization and space.;;;;;x
lxb_jungle_raised_platform_tent;Raised Platform Tent;;;;;x
lxb_jungle_raised_platform_tent_desc;Tents on wooden platforms, elevated above the damp jungle floor to protect from pests and flooding. Allows for greater population and mobility.;;;;;x
lxb_jungle_mosquito_net_pavilion;Mosquito Net Pavilion;;;;;x
lxb_jungle_mosquito_net_pavilion_desc;Large communal tents covered in fine netting to keep out jungle insects. Improves health, unity, and survival in the humid environment.;;;;;x
lxb_jungle_stockade;Jungle Stockade;;;;;x
lxb_jungle_stockade_desc;A rough wooden palisade encircling the camp, built from felled jungle timber. Provides defense and improved security.;;;;;x
lxb_jungle_rain_shelter;Rain Shelter;;;;;x
lxb_jungle_rain_shelter_desc;Layered canopies and drainage ditches protect the camp from tropical downpours, enabling higher population and supply.;;;;;x
lxb_jungle_watchstand;Jungle Watchstand;;;;;x
lxb_jungle_watchstand_desc;Raised wooden towers allow sentries to observe the jungle canopy and warn the clan of dangers, improving unity and security.;;;;;x
lxb_jungle_timber_clearing;Timber Clearing;;;;;x
lxb_jungle_timber_clearing_desc;A broad swathe of jungle is cleared and harvested for timber, supporting advanced construction and greatly increasing camp capacity.;;;;;x
lxb_jungle_bastion;Jungle Bastion;;;;;x
lxb_jungle_bastion_desc;A mighty timber-and-earthwork fortification, blending with the jungle terrain. Serves as both a last redoubt and symbol of clan unity.;;;;;x
lxb_jungle_rainforest_refuge;Rainforest Refuge;;;;;x
lxb_jungle_rainforest_refuge_desc;A sprawling, fortified camp fully adapted to the rainforest, with advanced shelters, watchtowers, and escape routes. The ultimate jungle nomad stronghold.;;;;;x
