#Code;English;French;German;Spanish;Russian;x
mfo_water_source_hand_dug_pit;Hand-Dug Pit;;;;;x
mfo_water_source_hand_dug_pit_desc;A shallow, manually dug pit lined with hides, providing the most basic water collection for a nomad clan.;;;;;x
mfo_water_source_leather_water_bag_stand;Leather Water Bag Stand;;;;;x
mfo_water_source_leather_water_bag_stand_desc;A stand of stretched leather water bags, collecting rain and dew for greater storage and easier transport.;;;;;x
mfo_water_source_wooden_trough;Wooden Trough;;;;;x
mfo_water_source_wooden_trough_desc;A simple but effective wooden trough, channeling and storing water for both people and animals in the camp.;;;;;x
mfo_water_source_shallow_well;Shallow Well;;;;;x
mfo_water_source_shallow_well_desc;A hand-dug shallow well, lined with timber and stone, providing steadier access to clean water.;;;;;x
mfo_water_source_animal_watering_hole;Animal Watering Hole;;;;;x
mfo_water_source_animal_watering_hole_desc;A broad, reinforced watering hole designed for large herds and riders, sustaining both people and livestock through harsh seasons.;;;;;x
mfo_water_source_timbered_well;Timbered Well;;;;;x
mfo_water_source_timbered_well_desc;A deep, timber-reinforced well with improved lifting mechanisms, ensuring abundant fresh water for a flourishing nomad camp.;;;;;x
mfo_water_source_draw_bucket_station;Draw Bucket Station;;;;;x
mfo_water_source_draw_bucket_station_desc;A robust station with pulley-driven buckets, greatly speeding water retrieval and supporting large-scale nomadic life.;;;;;x
mfo_water_source_filtered_spring;Filtered Spring;;;;;x
mfo_water_source_filtered_spring_desc;A spring surrounded by stonework and reed filters, providing exceptionally clean water for both people and horses.;;;;;x
mfo_water_source_covered_steppe_well;Covered Steppe Well;;;;;x
mfo_water_source_covered_steppe_well_desc;A masterwork well with timbered supports and a heavy covering, protected against sand and debris, sustaining the greatest nomad hordes.;;;;;x
mfo_water_source_oasis_pavilion;Oasis Pavilion;;;;;x
mfo_water_source_oasis_pavilion_desc;A grand tented oasis, complete with shaded pools, ample storage, and gathering space for the entire clan—an unparalleled source of life in the steppe.;;;;;x
