#Code;English;French;German;Spanish;Russian;x
mmq_earthen_pit_east_african_sorghum_store;Earthen Pit;;;;;x
mmq_earthen_pit_east_african_sorghum_store_desc;A simple pit dug in the ground to store sorghum, lined with grass and clay to keep grain dry and cool. Vulnerable to pests and spoilage but allows basic food reserves for the clan.;;;;;x
mmq_woven_basket_east_african_sorghum_store;Woven Basket;;;;;x
mmq_woven_basket_east_african_sorghum_store_desc;Hand-woven reed baskets for storing sorghum off the ground, offering modest protection from moisture and vermin. A step up in clan storage, increasing food security.;;;;;x
mmq_mudbrick_hut_east_african_sorghum_store;Mudbrick Hut;;;;;x
mmq_mudbrick_hut_east_african_sorghum_store_desc;A sturdy hut of sun-dried mudbrick and thatch, providing sheltered storage and a gathering place for grain distribution. Reduces losses to weather and pests, supporting greater clan numbers.;;;;;x
mmq_raised_silo_east_african_sorghum_store;Raised Silo;;;;;x
mmq_raised_silo_east_african_sorghum_store_desc;A timber-framed, elevated silo built on stilts with mud-wattle walls. Keeps sorghum dry and safe from ground pests, supporting larger nomadic populations and more reliable food reserves.;;;;;x
mmq_guarded_storehouse_east_african_sorghum_store;Guarded Storehouse;;;;;x
mmq_guarded_storehouse_east_african_sorghum_store_desc;A fortified mudbrick and timber storehouse watched over by trusted guards. Protects sorghum from theft and fire, ensuring food security for a growing nomad horde.;;;;;x
mmq_rodent_proof_hut_east_african_sorghum_store;Rodent-Proof Hut;;;;;x
mmq_rodent_proof_hut_east_african_sorghum_store_desc;Advanced storage huts sealed with fired bricks, stone floors, and rodent barriers. Near-complete protection from spoilage, supporting the largest clan gatherings and surpluses.;;;;;x
mmq_expanded_store_east_african_sorghum_store;Expanded Store;;;;;x
mmq_expanded_store_east_african_sorghum_store_desc;A sprawling storage complex with multiple silos and communal grain halls, allowing the clan to store vast reserves and support migrations or long campaigns.;;;;;x
mmq_market_pavilion_east_african_sorghum_store;Market Pavilion;;;;;x
mmq_market_pavilion_east_african_sorghum_store_desc;A large open-air market structure for grain trade, with awnings for shade, attracting merchants and boosting trade among clans. Increases prosperity and sustains population growth.;;;;;x
mmq_grain_exchange_hall_east_african_sorghum_store;Grain Exchange Hall;;;;;x
mmq_grain_exchange_hall_east_african_sorghum_store_desc;A permanent hall for managing grain surpluses, brokering large-scale exchanges, and setting clan prices. Greatly enhances the wealth and manpower of the nomad horde.;;;;;x
mmq_east_african_sorghum_granary;East African Sorghum Granary;;;;;x
mmq_east_african_sorghum_granary_desc;A monumental granary complex representing the peak of East African nomadic grain storage. Symbol of clan prosperity and unity, it provides for massive migrations and ensures the hordes dominance in the region.;;;;;x
