#Code;English;French;German;Spanish;Russian;x
mqm_skinning_rack;Skinning Rack;;;;;x
mqm_skinning_rack_desc;A set of crude wooden frames for skinning and drying animal pelts, set up at the edge of the camp.;;;;;x
mqm_basic_fur_tent;Basic Fur Tent;;;;;x
mqm_basic_fur_tent_desc;A simple tent of stitched hides, protecting furs and workers from the elements.;;;;;x
mqm_tanning_shelter;Tanning Shelter;;;;;x
mqm_tanning_shelter_desc;A semi-permanent hide-covered structure, with pits and troughs for curing pelts and minimizing waste.;;;;;x
mqm_cured_hide_depot;Cured Hide Depot;;;;;x
mqm_cured_hide_depot_desc;A fortified, mobile storehouse for stacks of treated furs and hides, guarded by trusted clansmen.;;;;;x
mqm_furriers_pavilion;Furriers Pavilion;;;;;x
mqm_furriers_pavilion_desc;A large, decorated tent serving as the headquarters for skilled furriers and their apprentices, handling trade and luxury commissions.;;;;;x
mqm_embellished_tannery;Embellished Tannery;;;;;x
mqm_embellished_tannery_desc;A robust, semi-permanent tannery with decorative elements, renowned for producing high-quality pelts for trade and noble use.;;;;;x
mqm_specialist_trappers_yurt;Specialist Trappers Yurt;;;;;x
mqm_specialist_trappers_yurt_desc;A dedicated yurt for master trappers, complete with advanced equipment and space for training new furriers.;;;;;x
mqm_luxury_fur_cabin;Luxury Fur Cabin;;;;;x
mqm_luxury_fur_cabin_desc;A lavish, portable wooden cabin lined with the finest pelts, serving as a gathering place for chieftains and wealthy traders.;;;;;x
mqm_steppe_fur_market;Steppe Fur Market;;;;;x
mqm_steppe_fur_market_desc;A bustling seasonal market, attracting distant merchants and boosting the local economy through the fur trade.;;;;;x
mqm_royal_furriers_guild;Royal Furriers' Guild;;;;;x
mqm_royal_furriers_guild_desc;A prestigious institution controlling all major fur production and trade, closely associated with the khans court and foreign emissaries.;;;;;x
