#Code;English;French;German;Spanish;Russian;x
mxp_west_slavic_spindle_patch;Spindle Patch;;;;;x
mxp_west_slavic_spindle_patch_desc;A simple area where West Slavic nomads spin rough fibers into yarn, forming the base of all weaving efforts.;;;;;x
mxp_west_slavic_weavers_tent;Weavers Tent;;;;;x
mxp_west_slavic_weavers_tent_desc;A sturdy felt tent where skilled hands craft basic textiles, providing the tribe with clothing and trade goods.;;;;;x
mxp_west_slavic_loom_hut;Loom Hut;;;;;x
mxp_west_slavic_loom_hut_desc;A wooden hut sheltering large looms, enabling the creation of more advanced fabrics and increasing output.;;;;;x
mxp_west_slavic_patterned_room;Patterned Room;;;;;x
mxp_west_slavic_patterned_room_desc;A communal weaving room decorated with traditional Slavic motifs, where skilled artisans collaborate on intricate patterns.;;;;;x
mxp_west_slavic_dye_pavilion;Dye Pavilion;;;;;x
mxp_west_slavic_dye_pavilion_desc;A large canvas pavilion dedicated to dyeing yarns and fabrics, introducing vibrant colors and more valuable goods.;;;;;x
mxp_west_slavic_textile_chamber;Textile Chamber;;;;;x
mxp_west_slavic_textile_chamber_desc;A robust timber structure dedicated to mass textile production, employing many hands and supporting the growing nomad horde.;;;;;x
mxp_west_slavic_fine_cloth_hall;Fine Cloth Hall;;;;;x
mxp_west_slavic_fine_cloth_hall_desc;A grand hall where rare, high-quality cloth is crafted for trade and prestige, supporting both economy and morale.;;;;;x
mxp_west_slavic_weavers_guildhall;Weavers Guildhall;;;;;x
mxp_west_slavic_weavers_guildhall_desc;An organized guildhall where master weavers teach apprentices, codifying tradition and raising output even further.;;;;;x
mxp_west_slavic_master_weavers_room;Master Weavers Room;;;;;x
mxp_west_slavic_master_weavers_room_desc;A revered chamber reserved for legendary weavers whose artistry inspires the entire horde and attracts skilled migrants.;;;;;x
mxp_west_slavic_weaving_guild;West Slavic Weaving Guild;;;;;x
mxp_west_slavic_weaving_guild_desc;The legendary center of West Slavic weaving, a symbol of unity and prosperity, attracting the best artisans from across the steppe.;;;;;x
