#Code;English;French;German;Spanish;Russian;x
myu_celtic_forge_pit;Forge Pit;;;;;x
myu_celtic_forge_pit_desc;A simple pit dug into the earth, ringed with stones and fueled by scavenged wood. This primitive forge is the foundation of all metalwork, providing the bare minimum for tool and weapon repair on the frontier.;;;;;x
myu_celtic_bellows_shed;Bellows Shed;;;;;x
myu_celtic_bellows_shed_desc;A makeshift shelter of hides and branches protects bellows and tools from the elements, allowing for improved forging and modest production of basic weapons.;;;;;x
myu_celtic_simple_anvil;Simple Anvil;;;;;x
myu_celtic_simple_anvil_desc;A block of hard stone or rough iron serves as the smiths anvil, enabling more reliable repairs and basic forging of tools and weapons for the clan.;;;;;x
myu_celtic_ironworkers_hut;Ironworkers Hut;;;;;x
myu_celtic_ironworkers_hut_desc;A sturdy timber hut with a stone hearth, the Ironworkers Hut allows a skilled smith to produce more advanced weaponry and armor for warriors, boosting the clans readiness.;;;;;x
myu_celtic_weapons_pavilion;Weapons Pavilion;;;;;x
myu_celtic_weapons_pavilion_desc;A tented workshop bustling with apprentices and journeymen, where weapons and armor are produced at scale for the warband. The pavilion brings a sense of unity and pride to the clans warriors.;;;;;x
myu_celtic_druids_forge;Druids Forge;;;;;x
myu_celtic_druids_forge_desc;A sacred smithy where druidic wisdom and smithcraft intertwine. Here, weapons are ritually blessed, and the spiritual unity of the clan is strengthened with every forging.;;;;;x
myu_celtic_bronze_hall;Bronze Hall;;;;;x
myu_celtic_bronze_hall_desc;A grand timbered hall lined with bronze fittings and adorned with the clans banners. Here, the finest smiths gather to craft weapons of renown and ceremonial items, inspiring the people and attracting new warriors.;;;;;x
myu_celtic_grand_smithy;Celtic Grand Smithy;;;;;x
myu_celtic_grand_smithy_desc;The legendary heart of Celtic smithcraft, the Grand Smithy is a monumental center of innovation, unity, and renown. Here, the finest weapons in the land are forged for the clans mightiest warriors, and the wisdom of generations is passed on.;;;;;x
myu_celtic_master_smithy;Master Smithy;;;;;x
myu_celtic_master_smithy_desc;An extensive forge complex with multiple furnaces, water-driven bellows, and skilled master smiths. The Master Smithy forges superior arms and tools, greatly enhancing the clans strength and reputation.;;;;;x
myu_celtic_artisans_chamber;Artisans Chamber;;;;;x
myu_celtic_artisans_chamber_desc;A refined workshop reserved for the greatest artisans, specializing in ornate weapons, jewelry, and sacred items. The chamber draws talented smiths from afar and cultivates unity and cultural pride.;;;;;x
