#Code;English;French;German;Spanish;Russian;x
nku_south_slavic_brush_fence;Brush Fence;;;;;x
nku_south_slavic_brush_fence_desc;A makeshift defensive fence of brush, brambles, and sharpened sticks, swiftly thrown up by newly arrived clans as a basic deterrent to wild beasts and raiders.;;;;;x
nku_south_slavic_wooden_palisade;Wooden Palisade;;;;;x
nku_south_slavic_wooden_palisade_desc;Timber palisades encircle the camp, offering improved protection and a sense of permanence. Watchfires burn at night, and the clan feels more secure.;;;;;x
nku_south_slavic_stone_rampart;Stone Rampart;;;;;x
nku_south_slavic_stone_rampart_desc;A low stone rampart replaces the wood, signaling growing wealth and stability. Skilled masons reinforce weak spots, and the wall now deters all but the most determined attackers.;;;;;x
nku_south_slavic_gatehouse;Gatehouse;;;;;x
nku_south_slavic_gatehouse_desc;A sturdy gatehouse controls entry to the settlement. Guards are posted day and night, greatly bolstering security and morale.;;;;;x
nku_south_slavic_defended_hall;Defended Hall;;;;;x
nku_south_slavic_defended_hall_desc;The central hall is fortified, serving as a rallying point in emergencies. The clans core is now a true bastion, with defenders on constant alert.;;;;;x
nku_south_slavic_watchtower_pavilion;Watchtower Pavilion;;;;;x
nku_south_slavic_watchtower_pavilion_desc;Tall timber watchtowers with sheltered lookout pavilions ring the settlement, offering early warning of any threat and safe vantage points for archers.;;;;;x
nku_south_slavic_bastion_room;Bastion Room;;;;;x
nku_south_slavic_bastion_room_desc;Thick-walled bastion rooms are added to the inner defenses, offering a last line of shelter and command for the clans leaders and warriors.;;;;;x
nku_south_slavic_chiefs_chamber;Chiefs Chamber;;;;;x
nku_south_slavic_chiefs_chamber_desc;A grand chamber is constructed for the clan chief, symbolizing unity and prestige. The chamber is a gathering place for council and strategy.;;;;;x
nku_south_slavic_high_wall_pavilion;High Wall Pavilion;;;;;x
nku_south_slavic_high_wall_pavilion_desc;Magnificent stone walls, reinforced with timber galleries and ceremonial pavilions, rise above the settlement. The clan is safe and respected.;;;;;x
nku_south_slavic_fortress;South Slavic Fortress;;;;;x
nku_south_slavic_fortress_desc;A formidable stronghold, blending nomadic tradition with South Slavic craftsmanship. The fortress is the heart of the clans power, unity, and defense.;;;;;x
