#Code;English;French;German;Spanish;Russian;x
noq_mesoamerican_maize_earthen_pit;Earthen Pit;;;;;x
noq_mesoamerican_maize_earthen_pit_desc;A simple pit dug into the earth to store maize, protected from the elements but vulnerable to pests and decay.;;;;;x
noq_mesoamerican_maize_woven_basket;Woven Basket;;;;;x
noq_mesoamerican_maize_woven_basket_desc;Large, sturdy baskets woven from reeds and grasses, enabling safer, portable maize storage for traveling clans.;;;;;x
noq_mesoamerican_maize_mudbrick_hut;Mudbrick Hut;;;;;x
noq_mesoamerican_maize_mudbrick_hut_desc;A small, mudbrick structure keeps maize cool and safer from animals, improving storage capacity and food security.;;;;;x
noq_mesoamerican_maize_thatched_silo;Thatched Silo;;;;;x
noq_mesoamerican_maize_thatched_silo_desc;A tall, thatched storage silo keeps maize dry and allows for seasonal surplus, encouraging population and horde growth.;;;;;x
noq_mesoamerican_maize_rodent_proof_store;Rodent-Proof Store;;;;;x
noq_mesoamerican_maize_rodent_proof_store_desc;Elevated and sealed storage, using stone or clay, virtually eliminates pest loss and enables larger stable surpluses.;;;;;x
noq_mesoamerican_maize_guarded_pavilion;Guarded Pavilion;;;;;x
noq_mesoamerican_maize_guarded_pavilion_desc;A fortified tented store with dedicated guards ensures security for maize reserves, supporting larger hordes and improved sentiment.;;;;;x
noq_mesoamerican_maize_market_storehall;Market Storehall;;;;;x
noq_mesoamerican_maize_market_storehall_desc;A grand storage hall at the center of trade, facilitating efficient distribution and improved clan prosperity.;;;;;x
noq_mesoamerican_maize_expanded_granary;Expanded Granary;;;;;x
noq_mesoamerican_maize_expanded_granary_desc;Vast, permanent storage complexes using advanced building techniques, able to support booming populations and massive hordes.;;;;;x
noq_mesoamerican_maize_grain_exchange_hall;Grain Exchange Hall;;;;;x
noq_mesoamerican_maize_grain_exchange_hall_desc;A formal maize exchange and distribution center bringing together traders, clans, and merchants, greatly enhancing prosperity and unity.;;;;;x
noq_mesoamerican_maize_granary;Mesoamerican Maize Granary;;;;;x
noq_mesoamerican_maize_granary_desc;A monumental granary complex, blending stone, wood, and ceremonial architecture, serves as the beating heart of nomad prosperity and power.;;;;;x
