#Code;English;French;German;Spanish;Russian;x
obr_mudbrick_hut;Mudbrick Hut;;;;;x
obr_mudbrick_hut_desc;A simple, hastily constructed mudbrick shelter, offering protection from the elements for the first arrivals on the savanna.;;;;;x
obr_wattle_shelter;Wattle Shelter;;;;;x
obr_wattle_shelter_desc;A larger, sturdier structure using woven wattle and mud, suitable for growing families and small livestock.;;;;;x
obr_courtyard_pavilion;Courtyard Pavilion;;;;;x
obr_courtyard_pavilion_desc;An open pavilion with a central courtyard, encouraging gatherings and communal meals under the stars.;;;;;x
obr_thatched_room;Thatched Room;;;;;x
obr_thatched_room_desc;Private sleeping quarters with thick thatched roofing, providing comfort for elders and honored guests.;;;;;x
obr_fenced_yard;Fenced Yard;;;;;x
obr_fenced_yard_desc;A protective fence of woven branches encircles the compound, allowing for livestock and added security.;;;;;x
obr_guarded_pavilion;Guarded Pavilion;;;;;x
obr_guarded_pavilion_desc;A watchful guard post and reinforced pavilion, signifying increasing wealth and status.;;;;;x
obr_family_hall;Family Hall;;;;;x
obr_family_hall_desc;A large earthen hall for the extended family, featuring communal fires and decorative art.;;;;;x
obr_community_room;Community Room;;;;;x
obr_community_room_desc;A central gathering chamber for clan councils and feasts, adorned with clan totems and emblems.;;;;;x
obr_chiefs_chamber;Chiefs Chamber;;;;;x
obr_chiefs_chamber_desc;A lavish suite for the clan chief, with secure storage for treasures and council rooms for key advisors.;;;;;x
obr_west_african_compound;West African Compound;;;;;x
obr_west_african_compound_desc;A grand, walled compound representing the zenith of West African nomadic settlement, boasting vibrant culture, unity, and security for generations.;;;;;x
