#Code;English;French;German;Spanish;Russian;x
obz_byzantine_nomad_curtained_tent;Curtained Tent;;;;;x
obz_byzantine_nomad_curtained_tent_desc;A simple but dignified tent, adorned with colored curtains, marking the leaders place among the encampment.;;;;;x
obz_byzantine_nomad_mosaic_floor_hut;Mosaic-Floor Hut;;;;;x
obz_byzantine_nomad_mosaic_floor_hut_desc;A sturdier hut with decorative mosaic tiling, signifying wealth and stability in the midst of the steppe.;;;;;x
obz_byzantine_nomad_silk_draped_shelter;Silk Draped Shelter;;;;;x
obz_byzantine_nomad_silk_draped_shelter_desc;A prestigious tent covered in imported silks, providing comfort and status for the clans ruler.;;;;;x
obz_byzantine_nomad_columned_pavilion;Columned Pavilion;;;;;x
obz_byzantine_nomad_columned_pavilion_desc;A mobile structure with ornate columns, echoing imperial luxury even in the field.;;;;;x
obz_byzantine_nomad_gilded_portico;Gilded Portico;;;;;x
obz_byzantine_nomad_gilded_portico_desc;A lavish entrance to the rulers quarters, adorned with gold leaf and intricate designs, signifying true imperial grandeur.;;;;;x
obz_byzantine_nomad_domed_chamber;Domed Chamber;;;;;x
obz_byzantine_nomad_domed_chamber_desc;A grand domed hall reminiscent of Constantinoples splendor, providing unmatched prestige to the nomadic ruler.;;;;;x
obz_byzantine_nomad_imperial_reception_hall;Imperial Reception Hall;;;;;x
obz_byzantine_nomad_imperial_reception_hall_desc;A majestic tent-palace where great envoys and chieftains are received, echoing the imperial court.;;;;;x
obz_byzantine_nomad_throne_room;Throne Room;;;;;x
obz_byzantine_nomad_throne_room_desc;The heart of the mobile empire: a resplendent throne room, hung with purple and gold, where the Khan-Emperor commands the clans.;;;;;x
obz_byzantine_nomad_courtiers_gallery;Courtiers Gallery;;;;;x
obz_byzantine_nomad_courtiers_gallery_desc;A lavish tented gallery where the noblest courtiers, scholars, and artists gather, enhancing culture and unity in the realm.;;;;;x
obz_byzantine_nomad_grand_palace;Byzantine Grand Palace;;;;;x
obz_byzantine_nomad_grand_palace_desc;A colossal, mobile palace, rivaling the splendor of Constantinople itself. The heart of imperial authority on the open steppe, awe-inspiring to friend and foe alike.;;;;;x
