#Code;English;French;German;Spanish;Russian;x
oce_hideworkers_leanto;Hideworkers Lean-to;;;;;x
oce_hideworkers_leanto_desc;A basic shelter of hides and branches, where novice tanners and crafters process raw animal skins in the open air.;;;;;x
oce_tinkers_tent;Tinkers Tent;;;;;x
oce_tinkers_tent_desc;A small, mobile tent for basic repairs and crafting of simple tools, maintained by a traveling tinker.;;;;;x
oce_basic_smithy;Basic Smithy;;;;;x
oce_basic_smithy_desc;A rough forge set up with bellows and a portable anvil, allowing basic metalwork and weapon repairs.;;;;;x
oce_leatherworkers_yurt;Leatherworkers Yurt;;;;;x
oce_leatherworkers_yurt_desc;A specialized yurt with tools for fine leatherworking, producing quality tack, armor, and supplies.;;;;;x
oce_carpenters_shelter;Carpenters Shelter;;;;;x
oce_carpenters_shelter_desc;A sturdy, semi-permanent shelter for skilled woodworkers to craft wagons, bows, and defensive works.;;;;;x
oce_armorers_pavilion;Armorers Pavilion;;;;;x
oce_armorers_pavilion_desc;A large, mobile pavilion dedicated to advanced smithing and armor crafting, supporting the hordes warriors.;;;;;x
oce_fine_tool_shop;Fine Tool Shop;;;;;x
oce_fine_tool_shop_desc;A well-appointed workshop producing advanced tools, improving resource gathering and equipment quality throughout the camp.;;;;;x
oce_artisan_enclosure;Artisan Enclosure;;;;;x
oce_artisan_enclosure_desc;A fortified, enclosed area housing several skilled artisan families, fostering innovation and craftsmanship.;;;;;x
oce_masterwork_workshop;Masterwork Workshop;;;;;x
oce_masterwork_workshop_desc;A renowned workshop where master craftsmen create unparalleled arms, armor, and mobile structures for the elite.;;;;;x
oce_steppe_artisan_guild;River Nomad Artisan Guild;;;;;x
oce_steppe_artisan_guild_desc;The pinnacle of nomadic craftsmanship, this great guild unites the finest smiths, tanners, woodworkers, and inventors under one banner, driving the river nomad hordes prosperity and might.;;;;;x
